number_of_sources,index,delete_ratio,node,neighbors_probability,node_on_path,infected,sample_decision,correct
2,2,5,53,0.5833333333333334,1,False,False,True
2,2,5,56,0.4,1,False,False,True
2,2,5,63,0.3333333333333333,1,False,False,True
2,2,5,59,0.25,1,False,False,True
2,2,5,112,0.3,1,False,False,True
2,2,5,48,0.5454545454545454,1,False,False,True
2,2,5,88,0.6666666666666666,1,False,True,False
2,2,10,1,0.08333333333333333,1,False,False,True
2,2,10,33,0.1,0,False,False,True
2,2,10,9,0.45454545454545453,1,False,False,True
2,2,10,16,0.7272727272727273,1,True,True,True
2,2,10,41,0.6,1,False,True,False
2,2,10,90,0.3333333333333333,1,True,False,False
2,2,10,93,0.7,1,False,True,False
2,2,10,37,0.2727272727272727,1,False,False,True
2,2,10,103,0.2,1,False,False,True
2,2,10,105,0.1,1,False,False,True
2,2,10,45,0.0,1,False,False,True
2,2,10,109,0.09090909090909091,1,False,False,True
2,2,10,89,0.09090909090909091,1,False,False,True
2,2,10,57,0.3,1,True,False,False
2,2,10,25,0.09090909090909091,1,False,False,True
2,2,10,27,0.36363636363636365,1,False,False,True
2,2,10,101,0.7,1,False,True,False
2,2,10,2,0.25,1,False,False,True
2,2,10,64,0.2727272727272727,1,False,False,True
