network,sd_method,method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN
Facebook,BC,WP,0.95,0.9423348553847674,0.3685140465266039,0.11962216551205669,0.1806153576806624,99,31724,714,1251
Facebook,BC,BLOCD,,0.9616491470163478,0.34562437951112185,0.8835978835978835,0.4968881209219967,43,32432,6,1307
Facebook,BC,BLOCD,1.0,0.9616491470163478,0.3405967426010894,0.8835978835978835,0.4916711027511749,43,32432,6,1307
Facebook,BC,BLOCD,0.55,0.9618853023134777,0.3780024953714884,0.891005291005291,0.5308119099108501,51,32432,6,1299
SF-1,BC,LN,,0.9580169947957907,0.7088888888888889,0.5438832772166106,0.6155194416074888,49,3508,42,122
SF-1,BC,LN,1.0,0.9580169947957907,0.7088888888888889,0.5438832772166106,0.6155194416074888,49,3508,42,122
SF-1,BC,LN,0.95,0.957101485940173,0.711111111111111,0.5335016835016835,0.6096337376196702,50,3504,46,121
SF-1,BC,GN,,0.9511867540293029,0.5399999999999999,0.4571268237934905,0.49511953536535946,33,3498,52,138
SF-1,BC,GN,1.0,0.9543761457250104,0.5399999999999999,0.4966971300304633,0.5174441839316535,33,3509,41,138
SF-1,BC,GN,0.95,0.9549065722057904,0.6,0.5076398909732244,0.5499692401224605,36,3508,42,135
SF-1,BC,LV,,0.9548655432179073,0.62,0.4627212293878961,0.5299372625817709,45,3500,50,126
SF-1,BC,LV,1.0,0.9548655432179073,0.62,0.4627212293878961,0.5299372625817709,45,3500,50,126
SF-1,BC,LV,0.8,0.9524349331448378,0.7,0.4311096311096312,0.5335941512242195,54,3483,67,117
SF-1,BC,CNM,,0.9535981775529502,0.4844444444444444,0.4272486772486772,0.45405245068642425,32,3507,43,139
SF-1,BC,CNM,1.0,0.9533433355549891,0.4844444444444444,0.42231040564373895,0.45124860335799205,32,3506,44,139
SF-1,BC,CNM,0.85,0.9491860566372434,0.6155555555555554,0.3707070707070707,0.4627384041148891,40,3483,67,131
SF-1,BC,LP,,0.959788803405871,0.24000000000000002,1.0,0.38709677419354843,9,3550,0,162
