method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN
walktrap,0.15,0.23294365270097958,0.8921298053150265,0.06830310772706764,0.12689119119408906,2256,6386,44279,195
infomap,0.15,0.23372233670695056,0.8995833333333334,0.07194725791655542,0.13323832452357764,1000,3160,22442,111
df_node_similarity,0.2,0.2681029027565033,0.8806847887870499,0.07605573482499736,0.140019424509204,4819,4941,69532,195
leiden,0.2,0.2721158548243442,0.8737947917904452,0.06736368435166618,0.1250842191499606,2212,7771,42894,239
eigenvector,0.2,0.29527860993413046,0.8683062266737706,0.0678396587441562,0.12584704803071825,2241,10729,39936,210
louvain,0.2,0.27915542653193276,0.8583414148615791,0.066912906695026,0.12414774547280133,2170,8793,41872,281
greedy_modularity,0.2,0.29341979298575427,0.8893946328430753,0.07143758124971568,0.13225243786560287,2193,10799,39866,258
label_propagation,0.2,0.3115281717718686,0.8384917887839889,0.07924585863638307,0.14480609343752407,2264,7946,42719,187
surprise_communities,0.2,0.3079315072939685,0.7879294549664027,0.061857659741737084,0.11470984034052743,2099,10927,39738,352
walktrap,0.2,0.28007095612159644,0.8616887135868054,0.06945901622652316,0.12855543416561108,2166,8591,42074,285
infomap,0.2,0.3185782693083431,0.8562500000000001,0.08250790778063387,0.15051249198888542,964,5559,20043,147
df_node_similarity,0.25,0.3723060924577565,0.833037182198368,0.08774097713739236,0.15876027383315042,4714,7982,66491,300
leiden,0.25,0.34099122300282203,0.8421942147757169,0.0715371105725382,0.13187277046236706,2082,11295,39370,369
eigenvector,0.25,0.3740620811610324,0.8332420152584362,0.07252696346621952,0.13343913209361208,2034,14935,35730,417
louvain,0.25,0.35549005347706464,0.8168713177938002,0.07089717903171351,0.13047066272476993,2023,13229,37436,428
greedy_modularity,0.25,0.3745213446710802,0.8551565644369318,0.07743995052731814,0.1420191497190957,1962,15597,35068,489
label_propagation,0.25,0.37341344531674175,0.8114374643039215,0.09361901744569719,0.16787013773970605,2170,10481,40184,281
surprise_communities,0.25,0.34567197889229073,0.7547962241055696,0.061936187644710546,0.11447862212186909,2001,13522,37143,450
walktrap,0.25,0.33381923530190344,0.8256987870680215,0.06987142977925923,0.12884027122416236,2041,11068,39597,410
infomap,0.25,0.3913701124576851,0.8257142857142855,0.09741075500261519,0.17426339540179495,924,9844,15758,187
df_node_similarity,0.3,0.43348595909909665,0.7920758455181982,0.10106360250670031,0.17925540873518364,4671,9565,64908,343
leiden,0.3,0.40406552388202754,0.8041780414975295,0.07453820111182224,0.13643081049430975,1957,14690,35975,494
