method,threshold,ACC,recall,PPV,f12
infomap,0.55,0.9618555949095309,0.32094770452655025,0.8931216931216931,0.4722058851422005
surprise_communities,0.55,0.8981980958939785,0.4299122595186348,0.08370682613122275,0.1401294919314588
walktrap,0.55,0.924182993379761,0.3764495961791301,0.07972533492268352,0.13158360133644262
df_node_similarity,0.55,0.9951165301855447,0.48536585365853663,0.8632275132275131,0.621360254539365
eigenvector,0.6,0.9558448055825741,0.3538638010142478,0.2685335099755297,0.305349290113495
louvain,0.6,0.9536314661493416,0.3516635809922456,0.21691965218731346,0.2683256811819947
greedy_modularity,0.6,0.9541394439911789,0.29307869811371384,0.1922965049323745,0.2322245098789946
label_propagation,0.6,0.9484662550928091,0.3402331696584293,0.12148217814242394,0.17903787137799138
infomap,0.6,0.9618555949095309,0.32094770452655025,0.8931216931216931,0.4722058851422005
surprise_communities,0.6,0.904151236617129,0.42688695698838175,0.08737276135357591,0.14505624643576906
walktrap,0.6,0.9294236193524783,0.3739743486543776,0.085350571715513,0.1389818973413577
df_node_similarity,0.6,0.9951165301855447,0.48536585365853663,0.8632275132275131,0.621360254539365
eigenvector,0.65,0.9563211660881428,0.3500536639029757,0.2750771015476898,0.3080691355293053
louvain,0.65,0.9546063444833557,0.3489535538919746,0.2347517148057524,0.2806808489032971
greedy_modularity,0.65,0.9550259438456042,0.2925286431082133,0.2061665410824693,0.24186966479350758
label_propagation,0.65,0.9492932830967662,0.3402331696584293,0.12830031677569612,0.18633470054402612
infomap,0.65,0.9618264089071378,0.3206726770238,0.8931216931216931,0.47190814405743603
surprise_communities,0.65,0.9096287004821016,0.4252367919718801,0.09274935560251364,0.1522837574655702
walktrap,0.65,0.9320579878222883,0.37287423864337654,0.08889599946573527,0.14356502599630824
df_node_similarity,0.65,0.9951165301855447,0.48536585365853663,0.8632275132275131,0.621360254539365
eigenvector,0.7,0.9570051199606918,0.34922858139472485,0.292735826001955,0.31849652740920625
louvain,0.7,0.956176105001036,0.3489535538919746,0.27267732606612893,0.3061357634065716
greedy_modularity,0.7,0.9562341033991708,0.2925286431082133,0.23486947063372593,0.26054718726448345
label_propagation,0.7,0.9497655936910263,0.3402331696584293,0.13228908554543833,0.19050588365164134
infomap,0.7,0.9618264089071378,0.3206726770238,0.8931216931216931,0.47190814405743603
surprise_communities,0.7,0.9153607761990682,0.4216614344361265,0.09632840994778309,0.15682923499723803
walktrap,0.7,0.934750770558813,0.3725992111406263,0.09614801845178467,0.15285285359028114
df_node_similarity,0.7,0.9951165301855447,0.48536585365853663,0.8632275132275131,0.621360254539365
eigenvector,0.75,0.9573339352263665,0.3462435267917036,0.2985415894203436,0.3206280362740457
louvain,0.75,0.9571550847324262,0.3462435267917036,0.30290685683605917,0.3231286341207711
greedy_modularity,0.75,0.9569115669453806,0.292253615605463,0.25178314631046544,0.27051309767601345
label_propagation,0.75,0.950387887125813,0.3402331696584293,0.13811037360491624,0.19646854582268697
infomap,0.75,0.9618264089071378,0.3206726770238,0.8931216931216931,0.47190814405743603
surprise_communities,0.75,0.9193049696651538,0.4200112694196249,0.10072856975147954,0.16248856440669174
walktrap,0.75,0.9364734837895532,0.36906410153210445,0.09806118631093388,0.1549514212263235
df_node_similarity,0.75,0.9949849166030229,0.4731707317073171,0.8632275132275131,0.6112758612365111
eigenvector,0.8,0.958134820753068,0.342983444685932,0.32804232804232797,0.33534654628031313
louvain,0.8,0.9573347260853724,0.34270841718318173,0.3034496571327618,0.3218864108471978
greedy_modularity,0.8,0.9573528566062907,0.289543588505192,0.26579945031347096,0.27716391954847175
label_propagation,0.8,0.9507725795663384,0.3402331696584293,0.14184759133585625,0.20022062489726283
infomap,0.8,0.9618264089071378,0.3206726770238,0.8931216931216931,0.47190814405743603
surprise_communities,0.8,0.9222718221081485,0.41643591188387125,0.10092583863370413,0.16247487798247368
walktrap,0.8,0.9375101435020434,0.3687890740293542,0.10072734314380362,0.1582357602364327
df_node_similarity,0.8,0.9949849166030229,0.4731707317073171,0.8632275132275131,0.6112758612365111
eigenvector,0.85,0.9585502897579354,0.34270841718318173,0.3477616747181964,0.3452165546271584
louvain,0.85,0.958490688412399,0.34270841718318173,0.3530283522686515,0.3477918463964474
greedy_modularity,0.85,0.9582653116244979,0.2889935334996914,0.30710672401493655,0.29777493371545183
label_propagation,0.85,0.9518094029355216,0.3402331696584293,0.15422110970452366,0.21223857967459972
infomap,0.85,0.9618264089071378,0.3206726770238,0.8931216931216931,0.47190814405743603
surprise_communities,0.85,0.9244380797198269,0.41533580187287017,0.10353906731877562,0.16575665580800933
walktrap,0.85,0.939788339208849,0.3687890740293542,0.10926239934775686,0.16857924857768702
df_node_similarity,0.85,0.9949849166030229,0.4731707317073171,0.8632275132275131,0.6112758612365111
eigenvector,0.9,0.9591438876527829,0.34243338968043147,0.3797498797498797,0.3601275301103773
louvain,0.9,0.9588164527273368,0.34270841718318173,0.36717132214716747,0.35451836607370607
greedy_modularity,0.9,0.9587122230780378,0.2857334513939199,0.32594324129411845,0.30451671089252524
label_propagation,0.9,0.9520765233903461,0.3402331696584293,0.156813995682612,0.21468112693607563
infomap,0.9,0.9618264089071378,0.3206726770238,0.8931216931216931,0.47190814405743603
surprise_communities,0.9,0.9271075446576307,0.41313558185086796,0.10586619282529061,0.16854312761648355
walktrap,0.9,0.9415043532859604,0.3687890740293542,0.11672231130827058,0.17732195127003658
df_node_similarity,0.9,0.9949849166030229,0.4731707317073171,0.8632275132275131,0.6112758612365111
eigenvector,0.95,0.9594103102098176,0.34243338968043147,0.3978835978835979,0.368081866039153
louvain,0.95,0.9592621195986051,0.34188333467493087,0.39397584871269087,0.36608574026133867
greedy_modularity,0.95,0.9594772875367757,0.2857334513939199,0.38880254830977223,0.32939352114076476
label_propagation,0.95,0.9526964020079866,0.3402331696584293,0.1655313072035994,0.2227093594117626
infomap,0.95,0.9618264089071378,0.3206726770238,0.8931216931216931,0.47190814405743603
surprise_communities,0.95,0.9284148443611824,0.4096004722423462,0.10685995409485778,0.16949948313163196
walktrap,0.95,0.9423348553847674,0.3685140465266039,0.11962216551205669,0.1806153576806624
df_node_similarity,0.95,0.9949849166030229,0.4731707317073171,0.8632275132275131,0.6112758612365111
eigenvector,1,0.9595016780515269,0.34160830717218066,0.4011695906432749,0.3690009224874765
louvain,1,0.9604474292277297,0.34160830717218066,0.4963689179375454,0.4046977428708256
greedy_modularity,1,0.9600452634553306,0.28545842389116965,0.4343708851061792,0.34451175215228397
label_propagation,1,0.9534074287669476,0.3402331696584293,0.17683097585058372,0.23271295807296907
infomap,1,0.9618264089071378,0.3206726770238,0.8931216931216931,0.47190814405743603
surprise_communities,1,0.9317339451412536,0.4085003622313451,0.11362400866565915,0.17779460712917114
walktrap,1,0.9448565373439846,0.3685140465266039,0.13246965770091745,0.19488430138314047
df_node_similarity,1,0.9949849166030229,0.4731707317073171,0.8632275132275131,0.6112758612365111
