method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN
surprise_communities,0.5,0.6206863199925752,0.42159703775255575,0.05068041285799964,0.09048372690835237,585,20397,12041,765
walktrap,0.5,0.4919098755530522,0.5285720035418175,0.04192378505053353,0.07768589883860227,708,15922,16516,642
infomap,0.5,0.6459878448835691,0.4,0.0015319549258039978,0.0030522201922127488,4,4767,2608,6
leiden,0.55,0.5569122684095089,0.5469116423837507,0.054119993697983836,0.0984934997170013,695,18131,14307,655
eigenvector,0.55,0.7667565281225364,0.3257841637822319,0.06432427561082239,0.10743592409009903,538,25362,7076,812
louvain,0.55,0.608491436784912,0.5137607663205345,0.051515941256907484,0.09364217241958979,663,19890,12548,687
greedy_modularity,0.55,0.7121680818516322,0.36263248276047116,0.04408639901990262,0.07861528465348741,521,23506,8932,829
label_propagation,0.55,0.486719077072711,0.6185153881241782,0.04535634441868317,0.08451511217252954,592,15878,16560,758
surprise_communities,0.55,0.6897752023817321,0.3638882180901017,0.0476948771174687,0.08433584395660972,446,22863,9575,904
walktrap,0.55,0.6255645502041277,0.3907926158469506,0.04375965299029168,0.07870606362907256,526,20613,11825,824
infomap,0.55,0.6613661311121957,0.4,0.0016012066395933102,0.00318964507699853,4,4880,2495,6
leiden,0.6,0.6649206506998895,0.48342724516354085,0.059534273299409905,0.1060130000204091,535,21919,10519,815
eigenvector,0.6,0.806009629948377,0.2794655075263624,0.0606720290004651,0.09969931310966508,405,26814,5624,945
louvain,0.6,0.6984427056066284,0.4486262040838231,0.051309876192374496,0.09208759237972466,497,23088,9350,853
greedy_modularity,0.6,0.7790569198425158,0.31945987281655,0.055452109248904195,0.09450070744856394,426,25873,6565,924
label_propagation,0.6,0.5563331168755131,0.5272746786873809,0.03962270241431434,0.07370662973828591,464,18353,14085,886
surprise_communities,0.6,0.7567132460208139,0.26472000858622446,0.04195438830202035,0.07242969184406886,307,25254,7184,1043
walktrap,0.6,0.7175110430066929,0.3073184147683061,0.04503992356702129,0.07856546251918169,373,23870,8568,977
infomap,0.6,0.6760302884812148,0.4,0.0016756981024173224,0.003337414955066684,4,4988,2387,6
leiden,0.65,0.7600660228943467,0.38494727521532646,0.0888783394534836,0.1444137823667281,354,25316,7122,996
eigenvector,0.65,0.8294814618811371,0.21519627572513347,0.04878122461934302,0.07953358032177049,251,27757,4681,1099
louvain,0.65,0.7659648639063492,0.3391196436716843,0.06611900435086387,0.11066196822443199,338,25535,6903,1012
greedy_modularity,0.65,0.8311065035449615,0.23317770801470392,0.06547640781702957,0.10224294857810048,325,27729,4709,1025
label_propagation,0.65,0.6555429060931486,0.4459752072768252,0.04145902969033541,0.07586541099241279,381,21771,10667,969
surprise_communities,0.65,0.8071172147514294,0.18452869677211625,0.041041167333352085,0.0671479158092574,237,27021,5417,1113
walktrap,0.65,0.7896143429760879,0.19735839437602296,0.04292988770862619,0.07052007393296604,248,26423,6015,1102
infomap,0.65,0.7378649069017714,0.4,0.0020688917415489947,0.0041164920421227396,4,5445,1930,6
