method,threshold,ACC,recall,PPV,f12
df_node_similarity,0.5,0.9330836401313553,0.24837155693026972,0.45800059712330166,0.32208042383811325
eigenvector,0.5,0.9846773445726379,0.4100545124167172,0.22695894147132537,0.2921933202999358
surprise_communities,0.5,0.92511904500501,0.1799919240864123,0.023248696920663604,0.04117855643736104
walktrap,0.5,0.9804981035333359,0.28063799717343024,0.08575862499220162,0.1313720012805088
greedy_modularity,0.5,0.9926532918903646,0.46153846153846156,0.11764705882352941,0.1875
louvain,0.55,0.9490979510462233,0.3513781921604585,0.6794552743958735,0.4632091869672792
infomap,0.55,0.9110977413329329,0.3562753319942639,0.3186248228214164,0.3363998769960757
df_node_similarity,0.55,0.9331680313171508,0.24819588718938257,0.46131692180966716,0.32274812020815463
eigenvector,0.55,0.9853470999040285,0.40414900060569353,0.23676736913062826,0.29860150287486054
surprise_communities,0.55,0.9299451589546721,0.1632344033918837,0.023810634899529847,0.041559132684944815
walktrap,0.55,0.9810224876165085,0.28063799717343024,0.08924448609300305,0.13542351946346026
greedy_modularity,0.55,0.9932184232834134,0.46153846153846156,0.1276595744680851,0.2
louvain,0.6,0.9490281230469333,0.31829858775254183,0.6838758439836026,0.43440883831163024
infomap,0.6,0.9123406525577705,0.35350853357529155,0.32353913920988164,0.33786054144694805
df_node_similarity,0.6,0.9333229312091957,0.21842906988405106,0.4670229615184326,0.2976470604084246
eigenvector,0.6,0.9861201908667361,0.40218049666868566,0.25622292339668945,0.3130234729927472
surprise_communities,0.6,0.9339144804647672,0.14910155461336563,0.02442571070284533,0.04197509171476967
walktrap,0.6,0.9815528991184773,0.28063799717343024,0.09267624219661981,0.1393382424389018
greedy_modularity,0.6,0.9932184232834134,0.3076923076923077,0.09302325581395349,0.14285714285714285
louvain,0.65,0.9490301703258871,0.30641825651240234,0.6957276002506266,0.425454312538788
infomap,0.65,0.9134783433902928,0.34985629741706425,0.3287248287787293,0.3389615390876681
df_node_similarity,0.65,0.9334644309881948,0.21637273107659963,0.47554668858284055,0.2974199967208525
eigenvector,0.65,0.9867860463519208,0.3982434887946699,0.2775074115305743,0.32708952272537745
surprise_communities,0.65,0.938003681990461,0.12083585705632949,0.024523447526185484,0.04077223413132643
walktrap,0.65,0.9819921224495829,0.28063799717343024,0.09510662711152984,0.14206741294724806
greedy_modularity,0.65,0.9933597061316756,0.3076923076923077,0.09523809523809523,0.14545454545454545
louvain,0.7,0.9490467893936798,0.3032678721483925,0.7101700044851534,0.42503196513485786
infomap,0.7,0.9142134125150851,0.3447296284680742,0.3322327885905238,0.33836586164815036
df_node_similarity,0.7,0.933608011273199,0.2162409787709343,0.4863152618643971,0.29936760115233374
eigenvector,0.7,0.9869253892553873,0.3982434887946699,0.2815237797246558,0.32986293223684887
surprise_communities,0.7,0.9416599750286387,0.10670300827781143,0.025212218682030718,0.04078709699752367
walktrap,0.7,0.9820924183224077,0.28063799717343024,0.09539243122139292,0.14238603486294069
greedy_modularity,0.7,0.9933597061316756,0.3076923076923077,0.09523809523809523,0.14545454545454545
louvain,0.75,0.9489544292484823,0.29991985932588466,0.7109523635734335,0.4218707924504653
infomap,0.75,0.9151650217315521,0.3407848399460861,0.3384574274474639,0.3396171462763812
df_node_similarity,0.75,0.9337639684821989,0.2065816767203279,0.49221760394480557,0.29102244592294324
eigenvector,0.75,0.9874172527208348,0.3790127195639007,0.2917076408815559,0.3296780977832835
surprise_communities,0.75,0.9448922379158389,0.10670300827781143,0.026968895766561463,0.043055604373939196
walktrap,0.75,0.9822398351074934,0.28063799717343024,0.0961478608537432,0.14322588031187825
greedy_modularity,0.75,0.9933597061316756,0.3076923076923077,0.09523809523809523,0.14545454545454545
louvain,0.8,0.9489031796102962,0.2986391646696337,0.7114294202529496,0.4206856662154812
infomap,0.8,0.9161440713911596,0.3377254891633529,0.34543347485219195,0.3415359979531754
df_node_similarity,0.8,0.9338735759055652,0.2034971685091507,0.4975365456983104,0.288851381117648
eigenvector,0.8,0.9877672266015733,0.37310720775287703,0.30009828830317553,0.332643851115835
surprise_communities,0.8,0.9480515581966414,0.10670300827781143,0.029012944713776096,0.04562129081685231
walktrap,0.8,0.9828705691117939,0.28063799717343024,0.1005545652604476,0.14805866946174734
greedy_modularity,0.8,0.9933597061316756,0.3076923076923077,0.09523809523809523,0.14545454545454545
louvain,0.85,0.9487635890590237,0.2943068998786219,0.7022819704804999,0.41478775394769585
infomap,0.85,0.9169880617852435,0.3171113207230975,0.34996234769178325,0.3327279355625113
df_node_similarity,0.85,0.9339548156063316,0.20238116423498143,0.49567054639562813,0.28741246738272175
eigenvector,0.85,0.9880478224204952,0.37113870381586916,0.3109652205396886,0.33839778591496844
surprise_communities,0.85,0.9513444459794177,0.10670300827781143,0.03130084272628144,0.048402911313334705
walktrap,0.85,0.9828674888286288,0.2497476277003836,0.09377582808824464,0.13635337096217803
greedy_modularity,0.85,0.9933597061316756,0.3076923076923077,0.09523809523809523,0.14545454545454545
louvain,0.9,0.9487110458050967,0.27290999825234674,0.7009450256074969,0.3928611570033121
infomap,0.9,0.9181578008150575,0.3141546744935995,0.35694457730387913,0.3341854642061066
df_node_similarity,0.9,0.934095736152383,0.18968127140841967,0.5005295871328534,0.27510749009525687
eigenvector,0.9,0.9883271498861873,0.34600242277407633,0.31931818181818183,0.3321251853085614
surprise_communities,0.9,0.9546156720091291,0.10670300827781143,0.03391188515920643,0.05146681229011832
walktrap,0.9,0.9829647576773021,0.24712295578437313,0.09223864010314674,0.13433626937195167
greedy_modularity,0.9,0.9935009889799379,0.3076923076923077,0.0975609756097561,0.14814814814814817
louvain,0.95,0.948747519129301,0.2719257462838428,0.7117417289042003,0.3935087937244828
infomap,0.95,0.9188154537728997,0.3107039571178565,0.36148335225532624,0.3341756275722951
df_node_similarity,0.95,0.9341587274782087,0.18766885003619,0.5112047812802698,0.2745480989321474
eigenvector,0.95,0.9886090290240375,0.3420654149000606,0.3311251920122888,0.33650640703099793
surprise_communities,0.95,0.9568068981576352,0.10670300827781143,0.035848869406605345,0.0536672300804263
walktrap,0.95,0.9830620265259754,0.24712295578437313,0.09287970851771128,0.13501487200638454
greedy_modularity,0.95,0.9935009889799379,0.3076923076923077,0.0975609756097561,0.14814814814814817
louvain,1,0.9486066341509498,0.2475760887520559,0.6984530991883934,0.365570721660861
infomap,1,0.919012585937931,0.30705950160760154,0.3611667798034434,0.33192256721626956
df_node_similarity,1,0.934239258159957,0.18668459806768606,0.5073101858387525,0.2729328817310495
eigenvector,1,0.9889255772347725,0.3400969109630527,0.35271593598206497,0.3462915008111701
surprise_communities,1,0.9579499025955349,0.10539067231980619,0.03624225604203069,0.053936549569857876
walktrap,1,0.9830620265259754,0.2214819301433475,0.08694541990865064,0.12487115306243264
greedy_modularity,1,0.9935009889799379,0.3076923076923077,0.0975609756097561,0.14814814814814817
