method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN
louvain,0.5,0.9285854750269374,0.8133333333333332,0.31893404732438846,0.4581951158447283,96,3359,191,75
greedy_modularity,0.5,0.9171086838008764,0.7711111111111112,0.2552884535643156,0.3835850478835061,68,3343,207,103
label_propagation,0.5,0.9595882489230682,0.7177777777777777,0.5975829725829725,0.6521888052092266,44,3518,32,127
infomap,0.5,0.9592879486227679,0.7177777777777777,0.5936147186147186,0.6498183492059999,44,3517,33,127
surprise_communities,0.5,0.6952534581078285,0.7777777777777777,0.09418724452665023,0.16802679894050646,128,2462,1088,43
walktrap,0.5,0.769886908592359,0.6577777777777778,0.06249052743471469,0.11413768999884337,53,2802,748,118
df_node_similarity,0.5,0.9506430039018586,0.7655555555555555,0.5308490355591804,0.6269561695769589,43,3487,63,128
leiden,0.55,0.9437236760905385,0.8,0.40863183928318025,0.540951281939464,90,3421,129,81
eigenvector,0.55,0.9377537427735363,0.6866666666666666,0.37011744672326147,0.4809824640557693,57,3429,121,114
louvain,0.55,0.9346329282299125,0.788888888888889,0.3418763796344831,0.4770264612378813,85,3391,159,86
greedy_modularity,0.55,0.9250049629138961,0.7333333333333333,0.27176772853355613,0.3965697417287874,60,3379,171,111
label_propagation,0.55,0.9622601911074737,0.7088888888888888,0.6865079365079365,0.6975189271856317,40,3531,19,131
infomap,0.55,0.9619598908071735,0.7088888888888888,0.6812169312169313,0.6947774859699649,40,3530,20,131
surprise_communities,0.55,0.7015468349700095,0.74,0.09225863372828945,0.16406291552205876,120,2493,1057,51
walktrap,0.55,0.7969280319873469,0.5666666666666667,0.062168863727562904,0.11204526804287453,45,2910,640,126
df_node_similarity,0.55,0.9530789993251791,0.7544444444444445,0.5925683316034194,0.6637797260447477,40,3498,52,131
leiden,0.6,0.9491712783117463,0.7933333333333334,0.4265001870557426,0.5547590050752185,87,3443,107,84
eigenvector,0.6,0.9427648075108045,0.6511111111111112,0.4103768145434812,0.5034459596455014,50,3454,96,121
louvain,0.6,0.9412183387815146,0.7822222222222223,0.35880465213798546,0.4919515545966782,82,3417,133,89
greedy_modularity,0.6,0.9310522131688269,0.731111111111111,0.29704894449850405,0.4224552056497011,59,3402,148,112
label_propagation,0.6,0.9626648118097338,0.68,0.7428571428571429,0.7100401606425704,36,3536,14,135
infomap,0.6,0.9623645115094336,0.68,0.7354497354497354,0.7066387559808611,36,3535,15,135
surprise_communities,0.6,0.7179203417497518,0.6911111111111112,0.08999007772455175,0.15924477774229873,107,2565,985,64
walktrap,0.6,0.8112776428221844,0.5088888888888888,0.05863203655476887,0.10514922216242127,37,2971,579,134
df_node_similarity,0.6,0.9549211916321215,0.7366666666666668,0.6316408899742234,0.6801231005257066,36,3508,42,135
leiden,0.65,0.9519908539820823,0.7688888888888888,0.45798064021748236,0.5740402173749175,76,3463,87,95
eigenvector,0.65,0.9464285998855337,0.6511111111111112,0.4307160266559244,0.518463589789691,50,3467,83,121
louvain,0.65,0.9442481145169518,0.7644444444444445,0.3709230556215346,0.4994859711410834,74,3435,115,97
greedy_modularity,0.65,0.9358341099133803,0.7222222222222222,0.3068094814471626,0.4306662752944876,55,3422,128,116
label_propagation,0.65,0.9628835231122663,0.6488888888888887,0.7925925925925925,0.7135777092611623,31,3541,9,140
infomap,0.65,0.9628835231122663,0.6488888888888887,0.7925925925925925,0.7135777092611623,31,3541,9,140
surprise_communities,0.65,0.7218572635953581,0.6355555555555555,0.08732614098586759,0.15355379535637617,100,2587,963,71
walktrap,0.65,0.8222031867542777,0.47111111111111104,0.05128940710212137,0.09250760183299703,29,3020,530,142
df_node_similarity,0.65,0.9557395655739767,0.7088888888888888,0.6696699905033238,0.6887215665382854,31,3515,35,140
leiden,0.7,0.953188919517155,0.7533333333333333,0.46678849902534114,0.5764134803696411,69,3473,77,102
eigenvector,0.7,0.9482731758683579,0.64,0.44737022237022234,0.5266227388365221,45,3478,72,126
louvain,0.7,0.9467676388404479,0.7511111111111111,0.38836822804382365,0.5120017208957683,68,3450,100,103
greedy_modularity,0.7,0.9393373573373817,0.7088888888888889,0.31663845413845415,0.43774841004452764,49,3440,110,122
label_propagation,0.7,0.9628724981057086,0.5533333333333332,0.898148148148148,0.6847835332142552,24,3547,3,147
infomap,0.7,0.9625721978054084,0.5533333333333332,0.8796296296296295,0.6793314379253897,24,3546,4,147
