method,threshold,ACC,recall,PPV,f12
eigenvector,0.55,0.9089372372751323,0.6296296296296297,0.8611111111111112,0.7273982056590751
louvain,0.55,0.8856113433669858,0.7222222222222222,0.7018518518518518,0.7118913451813321
greedy_modularity,0.55,0.8790476986136639,0.6666666666666666,0.7203703703703704,0.6924788607031598
label_propagation,0.55,0.907069550269622,0.6203703703703703,0.8518518518518519,0.717912881434894
infomap,0.55,0.9025114230689977,0.75,0.7817460317460317,0.7655440414507773
surprise_communities,0.55,0.8647932402587583,0.7407407407407407,0.5222222222222223,0.6125773867709351
walktrap,0.55,0.9080580324803414,0.75,0.7592592592592592,0.7546012269938651
df_node_similarity,0.55,0.9320747913051348,0.7175925925925926,0.9629629629629629,0.8223650647893073
leiden,0.55,0.8670221434388886,0.6875,0.6919642857142857,0.6897249190938511
eigenvector,0.6,0.9089372372751323,0.6296296296296297,0.8611111111111112,0.7273982056590751
louvain,0.6,0.8856113433669858,0.7222222222222222,0.7018518518518518,0.7118913451813321
greedy_modularity,0.6,0.8831906219920159,0.6296296296296297,0.7333333333333334,0.677536231884058
label_propagation,0.6,0.907069550269622,0.6203703703703703,0.8518518518518519,0.717912881434894
infomap,0.6,0.9083593762853719,0.75,0.8002645502645502,0.7743174061433447
surprise_communities,0.6,0.8647932402587583,0.7407407407407407,0.5222222222222223,0.6125773867709351
walktrap,0.6,0.9080580324803414,0.75,0.7592592592592592,0.7546012269938651
df_node_similarity,0.6,0.9379227445215091,0.7175925925925926,1.0,0.8355795148247979
leiden,0.6,0.8670221434388886,0.6875,0.6919642857142857,0.6897249190938511
eigenvector,0.65,0.9089372372751323,0.6296296296296297,0.8611111111111112,0.7273982056590751
louvain,0.65,0.8856113433669858,0.7222222222222222,0.7018518518518518,0.7118913451813321
greedy_modularity,0.65,0.8880215398664122,0.6296296296296297,0.7388888888888889,0.6798977597353781
label_propagation,0.65,0.907069550269622,0.6203703703703703,0.8518518518518519,0.717912881434894
infomap,0.65,0.9131902941597682,0.75,0.8055555555555556,0.7767857142857144
surprise_communities,0.65,0.8647932402587583,0.7407407407407407,0.5222222222222223,0.6125773867709351
walktrap,0.65,0.9080580324803414,0.75,0.7592592592592592,0.7546012269938651
df_node_similarity,0.65,0.9379227445215091,0.7175925925925926,1.0,0.8355795148247979
leiden,0.65,0.8724569260475843,0.6875,0.6979166666666666,0.6926691729323309
eigenvector,0.7,0.9089372372751323,0.6296296296296297,0.8611111111111112,0.7273982056590751
louvain,0.7,0.8856113433669858,0.7222222222222222,0.7018518518518518,0.7118913451813321
greedy_modularity,0.7,0.8880215398664122,0.6296296296296297,0.7388888888888889,0.6798977597353781
label_propagation,0.7,0.907069550269622,0.6203703703703703,0.8518518518518519,0.717912881434894
infomap,0.7,0.9131902941597682,0.75,0.8055555555555556,0.7767857142857144
surprise_communities,0.7,0.8647932402587583,0.7407407407407407,0.5222222222222223,0.6125773867709351
walktrap,0.7,0.9080580324803414,0.75,0.7592592592592592,0.7546012269938651
df_node_similarity,0.7,0.9379227445215091,0.7175925925925926,1.0,0.8355795148247979
leiden,0.7,0.8724569260475843,0.6875,0.6979166666666666,0.6926691729323309
eigenvector,0.75,0.9089372372751323,0.6296296296296297,0.8611111111111112,0.7273982056590751
louvain,0.75,0.8856113433669858,0.7222222222222222,0.7018518518518518,0.7118913451813321
greedy_modularity,0.75,0.8880215398664122,0.6296296296296297,0.7388888888888889,0.6798977597353781
label_propagation,0.75,0.907069550269622,0.6203703703703703,0.8518518518518519,0.717912881434894
infomap,0.75,0.9131902941597682,0.75,0.8055555555555556,0.7767857142857144
