graph,community,nodes,sources,detected,difference,sources_ratio,nmi,sizes,avg_sizes,time
footbal,surprise_communities,99,12,12,0,10,0.6787541239462428,14|11|11|11|10|8|8|7|6|6|4|3,8.25,0.002906322479248047
footbal,walktrap,99,12,9,3,7,0.6332009293352285,15|14|14|11|11|11|10|7|6,11.0,0.0031578540802001953
footbal,spectral,99,12,2,10,2,0.25429920728016026,56|43,49.5,48.36511564254761
footbal,df_node_similarity,99,12,9,3,8,0.6192568921114094,18|12|10|11|6|15|11|6|10,11.0,0.07851648330688477
footbal,louvain,107,12,9,3,7,0.6118150745083566,19|17|13|12|12|9|9|8|8,11.88888888888889,0.004768848419189453
footbal,leiden,107,12,10,2,8,0.6390534965096599,17|13|12|12|10|9|9|9|8|8,10.7,0.001468658447265625
footbal,label_propagation,107,12,9,3,8,0.6053051140701818,21|17|13|12|10|9|9|8|8,11.88888888888889,0.001619577407836914
footbal,greedy_modularity,107,12,6,6,5,0.5170890890367069,30|26|22|12|9|8,17.833333333333332,0.022205829620361328
footbal,eigenvector,107,12,7,5,7,0.5308154344796787,32|15|15|14|12|10|9,15.285714285714286,0.006557464599609375
footbal,infomap,107,12,11,1,9,0.6514841597045602,17|12|12|10|9|9|9|8|8|8|5,9.727272727272727,0.04038810729980469
footbal,markov_clustering,107,12,12,0,10,0.6780053795334748,12|12|12|10|9|9|9|8|8|8|5|5,8.916666666666666,0.04466676712036133
footbal,paris,107,12,12,0,0,0.2529349856988258,13|12|12|10|9|9|8|8|8|7|6|5,8.916666666666666,0.010082483291625977
footbal,surprise_communities,107,12,12,0,10,0.678005379533475,12|12|12|10|9|9|9|8|8|8|5|5,8.916666666666666,0.00226593017578125
footbal,walktrap,107,12,10,2,8,0.6422118815533897,14|13|12|12|12|10|9|9|8|8,10.7,0.0026481151580810547
footbal,spectral,107,12,2,10,2,0.24482459717200108,59|48,53.5,43.22807192802429
footbal,df_node_similarity,107,12,7,5,6,0.5301765809541312,9|24|21|13|10|20|10,15.285714285714286,0.11325311660766602
footbal,louvain,102,12,8,4,7,0.5461802028550689,19|15|14|13|12|11|9|9,12.75,0.010162591934204102
footbal,leiden,102,12,8,4,7,0.5561686649344536,20|14|14|13|12|11|9|9,12.75,0.001995563507080078
footbal,label_propagation,102,12,8,4,7,0.5394061611770548,30|15|14|11|11|9|8|4,12.75,0.008475065231323242
footbal,greedy_modularity,102,12,7,5,6,0.5083260633744141,23|20|15|14|12|10|8,14.571428571428571,0.03079390525817871
footbal,eigenvector,102,12,9,3,9,0.5183483233130206,16|14|12|11|11|11|10|9|8,11.333333333333334,0.014086723327636719
footbal,infomap,102,12,8,4,7,0.5641181560285174,18|17|16|14|14|11|8|4,12.75,0.05831718444824219
footbal,markov_clustering,102,12,14,-2,11,0.6469402112732006,14|12|11|11|10|9|9|8|5|4|4|3|1|1,7.285714285714286,0.0518488883972168
footbal,paris,102,12,12,0,0,0.26068871859455317,14|12|11|11|9|9|8|8|6|5|5|4,8.5,0.0075228214263916016
footbal,surprise_communities,102,12,12,0,10,0.6454341475002492,14|12|11|11|10|9|9|8|5|5|4|4,8.5,0.0017478466033935547
footbal,walktrap,102,12,8,4,7,0.572061264634941,16|15|14|14|13|12|9|9,12.75,0.0020411014556884766
footbal,spectral,102,12,2,10,2,0.24136263652535195,54|48,51.0,46.76884150505066
footbal,df_node_similarity,102,12,6,6,6,0.4849359977824155,26|12|18|13|15|18,17.0,0.06254053115844727
