type,experiments,sources,threshold,comm_difference,avg_com_count,avg_time,avg_distance,avg_detected_sources,nr_of_missing_communities,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
centrality-cm:betweenness:df_node_similarity,3,10,0.0,20.0,3.3333333333333335,19.810389916102093,0.0,3.3333333333333335,6.0,4,2466,6,26,2522,0.13333333333333333,0.9895666131621188,0.4,0.979381443298969,0.2
rumor:leiden,3,10,0.0,6.0,12.0,2.970078627268473,8.0,12.0,16.0,8,2470,28,22,2522,0.26666666666666666,0.9911717495987159,0.2222222222222222,0.9825535289452815,0.2424242424242424
rumor:df_node_similarity,3,10,0.0,20.0,3.3333333333333335,36.703308741251625,0.0,3.3333333333333335,6.0,3,2465,7,27,2522,0.1,0.9891653290529695,0.3,0.9785884218873909,0.15
jordan:leiden,3,10,0.0,6.0,12.0,0.5171846548716227,6.666666666666667,12.0,16.0,11,2473,25,19,2522,0.36666666666666664,0.9923756019261637,0.3055555555555556,0.9849325931800159,0.3333333333333333
jordan:df_node_similarity,3,10,0.0,20.0,3.3333333333333335,15.578498601913452,0.0,3.3333333333333335,6.0,4,2466,6,26,2522,0.13333333333333333,0.9895666131621188,0.4,0.979381443298969,0.2
netsleuth-cm:leiden,3,10,0.0,6.0,12.0,0.37709800402323407,12.666666666666666,12.0,16.0,2,2464,34,28,2522,0.06666666666666667,0.9887640449438202,0.05555555555555555,0.9777954004758128,0.0606060606060606
netsleuth-cm:df_node_similarity,3,10,0.0,20.0,3.3333333333333335,15.765964031219482,0.0,3.3333333333333335,6.0,0,2462,10,30,2522,0.0,0.9879614767255217,0.0,0.9762093576526566,0
ensemble:leiden,3,10,0.0,6.0,12.0,3.588996648788452,8.333333333333334,12.0,16.0,8,2470,28,22,2522,0.26666666666666666,0.9911717495987159,0.2222222222222222,0.9825535289452815,0.2424242424242424
ensemble-centralities:leiden,3,10,0.0,6.0,12.0,1.1846490701039631,5.0,12.0,16.0,18,2480,18,12,2522,0.6,0.9951845906902087,0.5,0.9904837430610627,0.5454545454545454
ensemble-centralities:df_node_similarity,3,10,0.0,20.0,3.3333333333333335,45.76763987541199,0.0,3.3333333333333335,6.0,4,2466,6,26,2522,0.13333333333333333,0.9895666131621188,0.4,0.979381443298969,0.2
centrality-cm:betweenness:leiden,3,10,0.1,3.0,11.0,1.2870572408040364,5.333333333333333,11.0,12.0,19,2481,14,11,2522,0.6333333333333333,0.9955858747993579,0.5757575757575758,0.9912767644726408,0.6031746031746033
