type,experiments,sources,threshold,comm_difference,avg_com_count,avg_time,avg_distance,avg_detected_sources,nr_of_missing_communities,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
centrality-cm:betweenness:leiden,3,2,0.4,3.0,3.0,0.00637054443359375,0.0,4.333333333333333,3.0,6,55,7,0,61,1.0,1.0,0.46153846153846156,1.0,0.631578947368421
centrality-cm:betweenness:df_node_similarity,3,2,0.4,0.0,2.0,0.009741385777791342,0.0,2.0,0.0,6,55,0,0,61,1.0,1.0,1.0,1.0,1.0
rumor:leiden,3,2,0.4,3.0,3.0,0.009909947713216146,0.0,4.333333333333333,3.0,6,55,7,0,61,1.0,1.0,0.46153846153846156,1.0,0.631578947368421
rumor:df_node_similarity,3,2,0.4,0.0,2.0,0.01187292734781901,0.0,2.0,0.0,6,55,0,0,61,1.0,1.0,1.0,1.0,1.0
jordan:leiden,3,2,0.4,3.0,3.0,0.006985664367675781,2.0,16.0,3.0,0,49,48,6,61,0.0,0.8909090909090909,0.0,0.8032786885245902,0
jordan:df_node_similarity,3,2,0.4,0.0,2.0,0.010401487350463867,2.0,17.333333333333332,0.0,0,49,52,6,61,0.0,0.8909090909090909,0.0,0.8032786885245902,0
netsleuth-cm:leiden,3,2,0.4,3.0,3.0,0.00974575678507487,2.0,5.333333333333333,3.0,0,49,16,6,61,0.0,0.8909090909090909,0.0,0.8032786885245902,0
netsleuth-cm:df_node_similarity,3,2,0.4,0.0,2.0,0.013074000676472982,2.0,2.3333333333333335,0.0,0,49,7,6,61,0.0,0.8909090909090909,0.0,0.8032786885245902,0
ensemble:leiden,3,2,0.4,3.0,3.0,0.01750667889912923,1.6666666666666667,9.0,3.0,1,50,26,5,61,0.16666666666666666,0.9090909090909091,0.037037037037037035,0.8360655737704918,0.06060606060606061
ensemble:df_node_similarity,3,2,0.4,0.0,2.0,0.027151823043823242,0.6666666666666666,5.666666666666667,0.0,4,53,13,2,61,0.6666666666666666,0.9636363636363636,0.23529411764705882,0.9344262295081968,0.3478260869565218
ensemble-centralities:leiden,3,2,0.4,3.0,3.0,0.010746955871582031,0.0,5.0,3.0,6,55,9,0,61,1.0,1.0,0.4,1.0,0.5714285714285715
ensemble-centralities:df_node_similarity,3,2,0.4,0.0,2.0,0.01877768834431966,0.0,2.0,0.0,6,55,0,0,61,1.0,1.0,1.0,1.0,1.0
centrality-cm:betweenness:leiden,3,2,0.5,3.0,3.0,0.007703145345052083,0.0,5.0,3.0,6,55,9,0,61,1.0,1.0,0.4,1.0,0.5714285714285715
centrality-cm:betweenness:df_node_similarity,3,2,0.5,0.0,2.0,0.01280681292215983,0.0,2.0,0.0,6,55,0,0,61,1.0,1.0,1.0,1.0,1.0
rumor:leiden,3,2,0.5,3.0,3.0,0.010742425918579102,0.0,7.333333333333333,3.0,6,55,16,0,61,1.0,1.0,0.2727272727272727,1.0,0.42857142857142855
