type,experiments,sources,threshold,comm_difference,avg_com_count,avg_time,avg_distance,avg_detected_sources,nr_of_missing_communities,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
netsleuth-cm:leiden,3,2,0.2,3.0,3.0,0.0036116441090901694,2.0,4.0,1.0,0,49,12,6,61,0.0,0.8909090909090909,0.0,0.8032786885245902,0
netsleuth-cm:df_node_similarity,3,2,0.2,0.0,2.0,0.004723151524861653,2.0,2.3333333333333335,0.0,0,49,7,6,61,0.0,0.8909090909090909,0.0,0.8032786885245902,0
ensemble:leiden,3,2,0.2,3.0,3.0,0.010765631993611654,2.0,5.0,1.0,0,49,15,6,61,0.0,0.8909090909090909,0.0,0.8032786885245902,0
ensemble:df_node_similarity,3,2,0.2,0.0,2.0,0.01772960027058919,1.6666666666666667,2.6666666666666665,0.0,1,50,7,5,61,0.16666666666666666,0.9090909090909091,0.125,0.8360655737704918,0.14285714285714288
ensemble-centralities:leiden,3,2,0.2,3.0,3.0,0.005375305811564128,0.0,4.0,1.0,6,55,6,0,61,1.0,1.0,0.5,1.0,0.6666666666666666
ensemble-centralities:df_node_similarity,3,2,0.2,0.0,2.0,0.010905822118123373,0.0,2.0,0.0,6,55,0,0,61,1.0,1.0,1.0,1.0,1.0
centrality-cm:betweenness:leiden,3,3,0.2,2.0,3.0,0.0020775794982910156,1.0,4.0,2.0,7,40,5,2,51,0.7777777777777778,0.9523809523809523,0.5833333333333334,0.9215686274509803,0.6666666666666666
centrality-cm:betweenness:df_node_similarity,3,3,0.2,2.0,2.3333333333333335,0.004601955413818359,0.3333333333333333,3.6666666666666665,1.0,6,39,5,3,51,0.6666666666666666,0.9285714285714286,0.5454545454545454,0.8823529411764706,0.6
rumor:leiden,3,3,0.2,2.0,3.0,0.003245671590169271,1.0,4.0,2.0,7,40,5,2,51,0.7777777777777778,0.9523809523809523,0.5833333333333334,0.9215686274509803,0.6666666666666666
rumor:df_node_similarity,3,3,0.2,2.0,2.3333333333333335,0.006046692530314128,0.3333333333333333,3.6666666666666665,1.0,6,39,5,3,51,0.6666666666666666,0.9285714285714286,0.5454545454545454,0.8823529411764706,0.6
jordan:leiden,3,3,0.2,2.0,3.0,0.002313375473022461,3.0,10.666666666666666,2.0,0,33,32,9,51,0.0,0.7857142857142857,0.0,0.6470588235294118,0
jordan:df_node_similarity,3,3,0.2,2.0,2.3333333333333335,0.004620790481567383,3.0,11.666666666666666,1.0,0,33,35,9,51,0.0,0.7857142857142857,0.0,0.6470588235294118,0
netsleuth-cm:leiden,3,3,0.2,2.0,3.0,0.0034050941467285156,2.6666666666666665,4.0,2.0,1,34,11,8,51,0.1111111111111111,0.8095238095238095,0.08333333333333333,0.6862745098039216,0.09523809523809525
netsleuth-cm:df_node_similarity,3,3,0.2,2.0,2.3333333333333335,0.005450725555419922,0.6666666666666666,2.3333333333333335,1.0,1,34,6,8,51,0.1111111111111111,0.8095238095238095,0.14285714285714285,0.6862745098039216,0.125
ensemble:leiden,3,3,0.2,2.0,3.0,0.00942230224609375,2.3333333333333335,5.333333333333333,2.0,2,35,14,7,51,0.2222222222222222,0.8333333333333334,0.125,0.7254901960784313,0.16
ensemble:df_node_similarity,3,3,0.2,2.0,2.3333333333333335,0.018708229064941406,2.3333333333333335,3.6666666666666665,1.0,2,35,9,7,51,0.2222222222222222,0.8333333333333334,0.18181818181818182,0.7254901960784313,0.19999999999999998
ensemble-centralities:leiden,3,3,0.2,2.0,3.0,0.00449220339457194,1.0,4.0,2.0,7,40,5,2,51,0.7777777777777778,0.9523809523809523,0.5833333333333334,0.9215686274509803,0.6666666666666666
ensemble-centralities:df_node_similarity,3,3,0.2,2.0,2.3333333333333335,0.011713584264119467,0.3333333333333333,3.6666666666666665,1.0,6,39,5,3,51,0.6666666666666666,0.9285714285714286,0.5454545454545454,0.8823529411764706,0.6
centrality-cm:betweenness:leiden,3,4,0.2,3.0,3.0,0.0028878053029378257,1.3333333333333333,3.0,3.0,6,49,3,6,67,0.5,0.8909090909090909,0.6666666666666666,0.8208955223880597,0.5714285714285715
centrality-cm:betweenness:df_node_similarity,3,4,0.2,6.0,2.0,0.0060528914133707685,0.0,2.0,0.0,6,49,0,6,67,0.5,0.8909090909090909,1.0,0.8208955223880597,0.6666666666666666
rumor:leiden,3,4,0.2,3.0,3.0,0.004616657892862956,1.3333333333333333,3.0,3.0,6,49,3,6,67,0.5,0.8909090909090909,0.6666666666666666,0.8208955223880597,0.5714285714285715
rumor:df_node_similarity,3,4,0.2,6.0,2.0,0.00833272933959961,0.0,2.0,0.0,6,49,0,6,67,0.5,0.8909090909090909,1.0,0.8208955223880597,0.6666666666666666
jordan:leiden,3,4,0.2,3.0,3.0,0.0029544830322265625,4.0,13.333333333333334,3.0,0,43,40,12,67,0.0,0.7818181818181819,0.0,0.6417910447761194,0
