type,experiments,sources,threshold,comm_difference,avg_com_count,avg_time,avg_distance,avg_detected_sources,nr_of_missing_communities,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
centrality-cm:betweenness:leiden,3,2,0.4,16.0,7.333333333333333,0.02283445994059245,1.6666666666666667,32.0,16.0,1,198,95,5,209,0.16666666666666666,0.9753694581280788,0.010416666666666666,0.9521531100478469,0.0196078431372549
centrality-cm:betweenness:df_node_similarity,3,2,0.4,12.0,6.0,0.09905560811360677,1.6666666666666667,21.666666666666668,12.0,1,198,64,5,209,0.16666666666666666,0.9753694581280788,0.015384615384615385,0.9521531100478469,0.028169014084507043
rumor:leiden,3,2,0.4,16.0,7.333333333333333,0.028994639714558918,1.3333333333333333,33.0,16.0,2,199,97,4,209,0.3333333333333333,0.9802955665024631,0.020202020202020204,0.9617224880382775,0.0380952380952381
rumor:df_node_similarity,3,2,0.4,12.0,6.0,0.10273512204488118,1.6666666666666667,17.666666666666668,12.0,1,198,52,5,209,0.16666666666666666,0.9753694581280788,0.018867924528301886,0.9521531100478469,0.03389830508474576
jordan:leiden,3,2,0.4,16.0,7.333333333333333,0.025593042373657227,0.6666666666666666,57.0,16.0,4,201,167,2,209,0.6666666666666666,0.9901477832512315,0.023391812865497075,0.9808612440191388,0.04519774011299435
jordan:df_node_similarity,3,2,0.4,12.0,6.0,0.08207956949869792,1.0,49.666666666666664,12.0,3,200,146,3,209,0.5,0.9852216748768473,0.020134228187919462,0.9712918660287081,0.03870967741935484
netsleuth-cm:leiden,3,2,0.4,16.0,7.333333333333333,0.020445903142293293,1.3333333333333333,13.0,16.0,3,200,36,3,209,0.5,0.9852216748768473,0.07692307692307693,0.9712918660287081,0.13333333333333336
netsleuth-cm:df_node_similarity,3,2,0.4,12.0,6.0,0.07869776089986165,1.6666666666666667,10.333333333333334,12.0,2,199,29,4,209,0.3333333333333333,0.9802955665024631,0.06451612903225806,0.9617224880382775,0.1081081081081081
ensemble:leiden,3,2,0.4,16.0,7.333333333333333,0.0686190923055013,1.0,32.0,16.0,3,200,93,3,209,0.5,0.9852216748768473,0.03125,0.9712918660287081,0.058823529411764705
ensemble:df_node_similarity,3,2,0.4,12.0,6.0,0.26190956433614093,1.0,26.333333333333332,12.0,3,200,76,3,209,0.5,0.9852216748768473,0.0379746835443038,0.9712918660287081,0.07058823529411765
ensemble-centralities:leiden,3,2,0.4,16.0,7.333333333333333,0.03857096036275228,1.3333333333333333,37.333333333333336,16.0,2,199,110,4,209,0.3333333333333333,0.9802955665024631,0.017857142857142856,0.9617224880382775,0.03389830508474576
ensemble-centralities:df_node_similarity,3,2,0.4,12.0,6.0,0.18686016400655112,1.6666666666666667,28.666666666666668,12.0,1,198,85,5,209,0.16666666666666666,0.9753694581280788,0.011627906976744186,0.9521531100478469,0.02173913043478261
centrality-cm:betweenness:leiden,3,2,0.5,16.0,7.333333333333333,0.026285330454508465,1.6666666666666667,35.0,16.0,1,198,104,5,209,0.16666666666666666,0.9753694581280788,0.009523809523809525,0.9521531100478469,0.018018018018018018
centrality-cm:betweenness:df_node_similarity,3,2,0.5,12.0,6.0,0.09287913640340169,1.6666666666666667,24.666666666666668,12.0,1,198,73,5,209,0.16666666666666666,0.9753694581280788,0.013513513513513514,0.9521531100478469,0.025
rumor:leiden,3,2,0.5,16.0,7.333333333333333,0.0340112050374349,1.3333333333333333,41.666666666666664,16.0,2,199,123,4,209,0.3333333333333333,0.9802955665024631,0.016,0.9617224880382775,0.030534351145038167
rumor:df_node_similarity,3,2,0.5,12.0,6.0,0.10407042503356934,1.6666666666666667,28.0,12.0,1,198,83,5,209,0.16666666666666666,0.9753694581280788,0.011904761904761904,0.9521531100478469,0.022222222222222223
jordan:leiden,3,2,0.5,16.0,7.333333333333333,0.025616804758707683,0.6666666666666666,62.666666666666664,16.0,4,201,184,2,209,0.6666666666666666,0.9901477832512315,0.02127659574468085,0.9808612440191388,0.041237113402061855
jordan:df_node_similarity,3,2,0.5,12.0,6.0,0.08812681833902995,0.6666666666666666,60.0,12.0,4,201,176,2,209,0.6666666666666666,0.9901477832512315,0.022222222222222223,0.9808612440191388,0.043010752688172046
netsleuth-cm:leiden,3,2,0.5,16.0,7.333333333333333,0.02362998326619466,1.3333333333333333,13.666666666666666,16.0,3,200,38,3,209,0.5,0.9852216748768473,0.07317073170731707,0.9712918660287081,0.1276595744680851
netsleuth-cm:df_node_similarity,3,2,0.5,12.0,6.0,0.09071588516235352,1.6666666666666667,13.333333333333334,12.0,2,199,38,4,209,0.3333333333333333,0.9802955665024631,0.05,0.9617224880382775,0.08695652173913045
ensemble:leiden,3,2,0.5,16.0,7.333333333333333,0.06350318590799968,0.6666666666666666,40.0,16.0,4,201,116,2,209,0.6666666666666666,0.9901477832512315,0.03333333333333333,0.9808612440191388,0.06349206349206349
