type,sources,threshold,comm_difference,avg_com_size,avg_distance,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
jordan:df_node_similarity,10,,18,4.0,9.574810107549032,0.0,3,2421,9,27,2478,0.1,0.9889705882352942,0.25,0.9782082324455206,0.14285714285714288
netsleuth-cm:leiden,10,,6,12.0,0.19884435335795084,15.333333333333334,2,2420,34,28,2478,0.06666666666666667,0.988562091503268,0.05555555555555555,0.9774011299435028,0.0606060606060606
netsleuth-cm:df_node_similarity,10,,18,4.0,10.394630114237467,0.0,0,2418,12,30,2478,0.0,0.9877450980392157,0.0,0.9757869249394673,0
ensemble:leiden,10,,9,13.0,4.403619766235352,10.333333333333334,3,2421,36,27,2478,0.1,0.9889705882352942,0.07692307692307693,0.9782082324455206,0.08695652173913043
ensemble-centralities:leiden,10,,7,12.333333333333334,1.8467793464660645,7.0,11,2429,26,19,2478,0.36666666666666664,0.9922385620915033,0.2972972972972973,0.9846650524616626,0.3283582089552239
ensemble-centralities:df_node_similarity,10,,18,4.0,27.21816849708557,0.0,0,2418,12,30,2478,0.0,0.9877450980392157,0.0,0.9757869249394673,0
centrality-cm:betweenness:leiden,100,,265,11.666666666666666,1.2494818369547527,0.0,32,2138,3,268,2706,0.10666666666666667,0.8886118038237739,0.9142857142857143,0.8019216555801921,0.19104477611940301
centrality-cm:betweenness:df_node_similarity,100,,286,4.666666666666667,26.59281810124715,0.0,5,2111,9,295,2706,0.016666666666666666,0.8773898586866168,0.35714285714285715,0.7819660014781966,0.03184713375796178
rumor:leiden,100,,263,12.333333333333334,4.415487925211589,0.0,28,2134,9,272,2706,0.09333333333333334,0.8869492934330839,0.7567567567567568,0.7989652623798965,0.1661721068249258
jordan:leiden,100,,264,12.0,0.4713459809621175,0.0,26,2132,10,274,2706,0.08666666666666667,0.8861180382377389,0.7222222222222222,0.7974870657797487,0.15476190476190477
jordan:df_node_similarity,100,,286,4.666666666666667,15.438277959823608,0.0,5,2111,9,295,2706,0.016666666666666666,0.8773898586866168,0.35714285714285715,0.7819660014781966,0.03184713375796178
netsleuth-cm:leiden,100,,266,11.333333333333334,0.298811674118042,0.0,5,2111,29,295,2706,0.016666666666666666,0.8773898586866168,0.14705882352941177,0.7819660014781966,0.029940119760479042
netsleuth-cm:df_node_similarity,100,,286,4.666666666666667,16.74313227335612,0.0,1,2107,13,299,2706,0.0033333333333333335,0.8757273482959268,0.07142857142857142,0.779009608277901,0.006369426751592358
ensemble:leiden,100,,262,12.666666666666666,6.131660381952922,0.0,21,2127,17,279,2706,0.07,0.8840399002493765,0.5526315789473685,0.7937915742793792,0.12426035502958584
ensemble-centralities:leiden,100,,262,12.666666666666666,2.205641269683838,0.0,28,2134,10,272,2706,0.09333333333333334,0.8869492934330839,0.7368421052631579,0.7989652623798965,0.16568047337278105
ensemble-centralities:df_node_similarity,100,,286,4.666666666666667,32.3161199092865,0.0,5,2111,9,295,2706,0.016666666666666666,0.8773898586866168,0.35714285714285715,0.7819660014781966,0.03184713375796178
rumor:df_node_similarity,100,,96,4.0,53.538005352020264,0.0,2,702,2,98,900,0.02,0.8775,0.5,0.7822222222222223,0.038461538461538464
centrality-cm:betweenness:leiden,2,0.05,30,12.0,0.8828376134236654,1.6666666666666667,1,2320,45,5,2331,0.16666666666666666,0.9978494623655914,0.021739130434782608,0.9957099957099957,0.03846153846153846
centrality-cm:betweenness:df_node_similarity,2,0.05,7,4.333333333333333,15.710666735967001,2.3333333333333335,0,2319,25,6,2331,0.0,0.9974193548387097,0.0,0.9948519948519948,0
