type,experiment,sources,detected,normalized,per_community,time,nr_of_empty_communities,error_distance,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
ensemble:eigenvector,6,"0,2,32,33","13,29",{},"{0: {15: 0.5356013237772634, 18: 0.6223100966703968, 22: 0.5352666066532009, 23: 0.47475889549077427, 24: 0.12431426084253595, 26: 0.41598599587154855, 27: 0.5198484688246562, 29: 0.6653429304211136, 31: 0.33763547613138084, 32: 0.496270061785047, 33: 0.6636260342667835}, 1: {0: 0.5310215235851915, 2: 0.31764164013194746, 3: 0.3, 5: 0.26009202450199637, 6: 0.5333333333333333, 8: 0.5085245890952317, 12: 0.5542414870283788, 13: 0.559659826092835}}",0.0069959163665771484,0,0,0,11,2,4,19,0.0,0.7333333333333333,0.0,0.5789473684210527,0
ensemble:louvain,6,"0,2,32,33","13,22,24",{},"{0: {15: 0.6478340924270832, 18: 0.5899903832037512, 22: 0.6666666666666666, 23: 0.5308203839905369, 26: 0.45864556043102644, 27: 0.5356280762982287, 29: 0.328525641025641, 32: 0.41000585345250884, 33: 0.5946215825191804}, 1: {0: 0.5310215235851915, 2: 0.31764164013194746, 3: 0.3, 5: 0.26009202450199637, 6: 0.5333333333333333, 8: 0.5085245890952317, 12: 0.5542414870283788, 13: 0.559659826092835}, 2: {24: 0.3333333333333333, 31: 0.3333333333333333}}",0.006300687789916992,1,0,0,11,3,4,19,0.0,0.7333333333333333,0.0,0.5789473684210527,0
ensemble:greedy_modularity,6,"0,2,32,33","13,24,26",{},"{0: {0: 0.5310215235851915, 2: 0.31764164013194746, 3: 0.3, 5: 0.26009202450199637, 6: 0.5333333333333333, 8: 0.5085245890952317, 12: 0.5542414870283788, 13: 0.559659826092835}, 1: {32: 0.4122914556015171, 33: 0.48796248639172396, 15: 0.3393939393939394, 18: 0.4556308021804334, 22: 0.34428219770402063, 23: 0.46424349042778384, 26: 0.6428571428571429, 29: 0.38065071761859776}, 2: {24: 0.9561158341375346, 27: 0.39999999999999997, 31: 0.0}}",0.006349086761474609,1,0,0,11,3,4,19,0.0,0.7333333333333333,0.0,0.5789473684210527,0
ensemble:label_propagation,6,"0,2,32,33","22,31",{},"{0: {32: 0.3551808461311734, 33: 0.5008209630567696, 2: 0.25958601661489306, 8: 0.4922973485997595, 13: 0.5213291701482229, 15: 0.3792147242407793, 18: 0.3428041754854984, 22: 0.5845648604269295, 23: 0.3024588174906832, 26: 0.21510673234811165, 27: 0.503415566535261, 29: 0.3958622003612051}, 1: {0: 0.5303802206444441, 3: 0.43557595046926006, 5: 0.5964595488567768, 6: 0.5613930635722885, 12: 0.6587301587301587, 24: 0.0, 31: 0.785045718813921}}",0.008167743682861328,0,0,0,11,2,4,19,0.0,0.7333333333333333,0.0,0.5789473684210527,0
ensemble:infomap,6,"0,2,32,33","13,29",{},"{0: {15: 0.5356013237772634, 18: 0.6223100966703968, 22: 0.5352666066532009, 23: 0.47475889549077427, 24: 0.12431426084253595, 26: 0.41598599587154855, 27: 0.5198484688246562, 29: 0.6653429304211136, 31: 0.33763547613138084, 32: 0.496270061785047, 33: 0.6636260342667835}, 1: {0: 0.5310215235851915, 2: 0.31764164013194746, 3: 0.3, 5: 0.26009202450199637, 6: 0.5333333333333333, 8: 0.5085245890952317, 12: 0.5542414870283788, 13: 0.559659826092835}}",0.006157875061035156,0,0,0,11,2,4,19,0.0,0.7333333333333333,0.0,0.5789473684210527,0
ensemble:surprise_communities,6,"0,2,32,33","3,6,8,24,29",{},"{0: {8: 0.6190476190476191, 15: 0.43639601484059093, 18: 0.43639601484059093, 22: 0.43639601484059093, 32: 0.5093526015294824, 33: 0.3333333333333333}, 1: {0: 0.4945664885968694, 2: 0.35181831927817614, 3: 0.9696969696969697, 12: 0.27272727272727276, 13: 0.5163272645720197}, 2: {23: 0.29455449799649336, 26: 0.3333333333333333, 29: 1.0}, 3: {24: 0.9561158341375346, 27: 0.39999999999999997, 31: 0.0}, 4: {5: 0.0, 6: 0.3333333333333333}}",0.007170677185058594,3,4,0,11,5,4,19,0.0,0.7333333333333333,0.0,0.5789473684210527,0
ensemble:walktrap,6,"0,2,32,33","3,6,24,26",{},"{0: {15: 0.3393939393939394, 18: 0.4556308021804334, 22: 0.34428219770402063, 23: 0.46424349042778384, 26: 0.6428571428571429, 29: 0.38065071761859776, 32: 0.4122914556015171, 33: 0.48796248639172396}, 1: {0: 0.4026639255928717, 2: 0.2929292929292929, 3: 0.7171717171717171, 8: 0.6159456914961631, 12: 0.3078024078956466, 13: 0.40253653409982215}, 2: {24: 0.9561158341375346, 27: 0.39999999999999997, 31: 0.0}, 3: {5: 0.0, 6: 0.3333333333333333}}",0.0074460506439208984,2,5,0,11,4,4,19,0.0,0.7333333333333333,0.0,0.5789473684210527,0
ensemble:df_node_similarity,6,"0,2,32,33","3,6,29",{},"{0: {32: 0.496270061785047, 33: 0.6636260342667835, 15: 0.5356013237772634, 18: 0.6223100966703968, 22: 0.5352666066532009, 23: 0.47475889549077427, 24: 0.12431426084253595, 26: 0.41598599587154855, 27: 0.5198484688246562, 29: 0.6653429304211136, 31: 0.33763547613138084}, 1: {0: 0.4026639255928717, 2: 0.2929292929292929, 3: 0.7171717171717171, 8: 0.6159456914961631, 12: 0.3078024078956466, 13: 0.40253653409982215}, 2: {5: 0.0, 6: 0.3333333333333333}}",0.006625175476074219,1,0,0,11,3,4,19,0.0,0.7333333333333333,0.0,0.5789473684210527,0
ensemble-centralities:leiden,6,"0,2,32,33","0,24,33",{},"{0: {15: 0.0, 18: 0.0, 22: 0.0, 23: 0.09999999999999999, 26: 0.0, 29: 0.2588235294117647, 32: 0.6647058823529411, 33: 1.0}, 1: {0: 1.0, 2: 0.23846153846153845, 3: 0.23846153846153845, 5: 0.0, 6: 0.0, 8: 0.0, 12: 0.0, 13: 0.09999999999999999}, 2: {24: 1.0, 27: 0.0, 31: 0.0}}",0.002303600311279297,1,0,2,13,1,2,19,0.5,0.8666666666666667,0.6666666666666666,0.7894736842105263,0.5714285714285715
ensemble-centralities:eigenvector,6,"0,2,32,33","0,33",{},"{0: {15: 0.0, 18: 0.0, 22: 0.0, 23: 0.17261904761904764, 24: 0.011904761904761906, 26: 0.0, 27: 0.15476190476190477, 29: 0.16666666666666669, 31: 0.1785714285714286, 32: 0.5535714285714286, 33: 1.0}, 1: {0: 1.0, 2: 0.23846153846153845, 3: 0.23846153846153845, 5: 0.0, 6: 0.0, 8: 0.0, 12: 0.0, 13: 0.09999999999999999}}",0.002484560012817383,0,0,2,13,0,2,19,0.5,0.8666666666666667,1.0,0.7894736842105263,0.6666666666666666
