type,sources,avg_distance,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
netsleuth:infomap,5,6.0,0,10707,16,15,10737,0.0,0.9986010072747622,0.0,0.9972059234423023,0
netsleuth:markov_clustering,5,6.0,0,10707,26,15,10737,0.0,0.9986010072747622,0.0,0.9972059234423023,0
netsleuth:surprise_communities,5,5.0,0,10707,855,15,10737,0.0,0.9986010072747622,0.0,0.9972059234423023,0
netsleuth:walktrap,5,5.0,0,10707,171,15,10737,0.0,0.9986010072747622,0.0,0.9972059234423023,0
centrality-cm:betweenness:surprise_communities,41,29.333333333333332,45,11043,847,78,11244,0.36585365853658536,0.9929862422444025,0.05044843049327354,0.9861259338313767,0.08866995073891626
unbiased-cm:betweenness:surprise_communities,41,29.333333333333332,47,11045,844,76,11244,0.3821138211382114,0.9931660821868536,0.052749719416386086,0.9864816791177516,0.09270216962524656
rumor:surprise_communities,41,30.333333333333332,43,11041,861,80,11244,0.34959349593495936,0.9928064023019513,0.04756637168141593,0.9857701885450018,0.08373904576436222
jordan:louvain,41,2483.6666666666665,15,11013,8,108,11244,0.12195121951219512,0.9902886431076342,0.6521739130434783,0.9807897545357525,0.20547945205479454
jordan:leiden,41,3724.6666666666665,18,11016,9,105,11244,0.14634146341463414,0.990558403021311,0.6666666666666666,0.9813233724653149,0.24
jordan:label_propagation,41,2483.6666666666665,22,11020,12,101,11244,0.17886178861788618,0.9909180829062134,0.6470588235294118,0.9820348630380648,0.2802547770700637
jordan:greedy_modularity,41,1241.0,21,11019,6,102,11244,0.17073170731707318,0.9908281629349879,0.7777777777777778,0.9818569903948773,0.27999999999999997
jordan:eigenvector,41,3726.3333333333335,26,11024,4,97,11244,0.21138211382113822,0.9912777627911159,0.8666666666666667,0.9827463536108146,0.33986928104575165
jordan:infomap,41,3748.0,8,11006,10,115,11244,0.06504065040650407,0.989659203309055,0.4444444444444444,0.97954464603344,0.11347517730496455
jordan:markov_clustering,41,3771.3333333333335,15,11013,11,108,11244,0.12195121951219512,0.9902886431076342,0.5769230769230769,0.9807897545357525,0.20134228187919462
jordan:paris,41,0.0,3,11001,0,120,11244,0.024390243902439025,0.9892096034529269,1.0,0.9786552828175027,0.047619047619047616
jordan:walktrap,41,2483.6666666666665,34,11032,10,89,11244,0.2764227642276423,0.9919971225609208,0.7727272727272727,0.9841693347563145,0.40718562874251496
netsleuth:louvain,41,0.0,1,10999,48,122,11244,0.008130081300813009,0.9890297635104757,0.02040816326530612,0.9782995375311277,0.011627906976744188
netsleuth:leiden,41,0.0,0,10998,50,123,11244,0.0,0.98893984353925,0.0,0.9781216648879403,0
netsleuth:label_propagation,41,0.0,0,10998,91,123,11244,0.0,0.98893984353925,0.0,0.9781216648879403,0
netsleuth:greedy_modularity,41,0.0,0,10998,39,123,11244,0.0,0.98893984353925,0.0,0.9781216648879403,0
netsleuth:eigenvector,41,0.0,0,10998,52,123,11244,0.0,0.98893984353925,0.0,0.9781216648879403,0
netsleuth:infomap,41,0.0,0,10998,19,123,11244,0.0,0.98893984353925,0.0,0.9781216648879403,0
netsleuth:markov_clustering,41,0.0,1,10999,29,122,11244,0.008130081300813009,0.9890297635104757,0.03333333333333333,0.9782995375311277,0.0130718954248366
netsleuth:surprise_communities,41,45.333333333333336,5,11003,878,118,11244,0.04065040650406504,0.9893894433953782,0.0056625141562853904,0.9790110281038776,0.009940357852882704
netsleuth:walktrap,41,55.333333333333336,1,10999,186,122,11244,0.008130081300813009,0.9890297635104757,0.0053475935828877,0.9782995375311277,0.006451612903225807
centrality-cm:betweenness:surprise_communities,404,0.0,95,9008,833,1117,11337,0.07838283828382839,0.889679012345679,0.10237068965517242,0.8029461056716944,0.08878504672897199
unbiased-cm:betweenness:surprise_communities,404,0.0,88,9001,836,1124,11337,0.07260726072607261,0.8889876543209877,0.09523809523809523,0.8017112110787686,0.08239700374531836
jordan:louvain,404,0.0,20,8933,4,1192,11337,0.0165016501650165,0.8822716049382716,0.8333333333333334,0.7897150921760607,0.032362459546925564
jordan:leiden,404,2520.6666666666665,23,8936,6,1189,11337,0.018976897689768978,0.8825679012345679,0.7931034482758621,0.790244332715886,0.037066881547139406
jordan:label_propagation,404,2517.3333333333335,27,8940,7,1185,11337,0.022277227722772276,0.882962962962963,0.7941176470588235,0.7909499867689865,0.04333868378812199
jordan:greedy_modularity,404,1258.3333333333333,24,8937,6,1188,11337,0.019801980198019802,0.8826666666666667,0.8,0.7904207462291611,0.03864734299516908
jordan:eigenvector,404,1259.0,26,8939,4,1186,11337,0.02145214521452145,0.8828641975308642,0.8666666666666667,0.7907735732557114,0.04186795491143317
jordan:infomap,404,3779.0,12,8925,5,1200,11337,0.009900990099009901,0.8814814814814815,0.7058823529411765,0.7883037840698598,0.01952807160292921
jordan:markov_clustering,404,5037.333333333333,21,8934,5,1191,11337,0.017326732673267328,0.8823703703703704,0.8076923076923077,0.7898915056893357,0.033925686591276254
jordan:paris,404,0.0,3,8916,0,1209,11337,0.0024752475247524753,0.8805925925925926,1.0,0.7867160624503837,0.0049382716049382715
jordan:walktrap,404,3779.0,42,8955,5,1170,11337,0.034653465346534656,0.8844444444444445,0.8936170212765957,0.7935961894681133,0.06671961874503575
netsleuth:louvain,404,0.0,2,8915,47,1210,11337,0.0016501650165016502,0.8804938271604938,0.04081632653061224,0.7865396489371086,0.003172085646312451
netsleuth:leiden,404,0.0,5,8918,46,1207,11337,0.004125412541254125,0.8807901234567901,0.09803921568627451,0.787068889476934,0.00791765637371338
netsleuth:label_propagation,404,0.0,5,8918,93,1207,11337,0.004125412541254125,0.8807901234567901,0.05102040816326531,0.787068889476934,0.007633587786259541
netsleuth:greedy_modularity,404,0.0,1,8914,38,1211,11337,0.0008250825082508251,0.8803950617283951,0.02564102564102564,0.7863632354238335,0.0015987210231814548
netsleuth:eigenvector,404,0.0,8,8921,44,1204,11337,0.006600660066006601,0.8810864197530864,0.15384615384615385,0.7875981300167593,0.012658227848101267
netsleuth:infomap,404,0.0,3,8916,17,1209,11337,0.0024752475247524753,0.8805925925925926,0.15,0.7867160624503837,0.00487012987012987
netsleuth:markov_clustering,404,0.0,3,8916,27,1209,11337,0.0024752475247524753,0.8805925925925926,0.1,0.7867160624503837,0.004830917874396135
netsleuth:surprise_communities,404,0.0,30,8943,885,1182,11337,0.024752475247524754,0.8832592592592593,0.03278688524590164,0.7914792273088118,0.028208744710860368
netsleuth:walktrap,404,0.0,10,8923,180,1202,11337,0.00825082508250825,0.8812839506172839,0.05263157894736842,0.7879509570433095,0.01426533523537803
