type,sources,avg_distance,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
jordan:walktrap,2,40.666666666666664,0,161,22,6,173,0.0,0.9640718562874252,0.0,0.930635838150289,0
jordan:spectral,2,44.666666666666664,0,161,6,6,173,0.0,0.9640718562874252,0.0,0.930635838150289,0
netsleuth:louvain,2,2.6666666666666665,0,161,20,6,173,0.0,0.9640718562874252,0.0,0.930635838150289,0
netsleuth:leiden,2,2.6666666666666665,0,161,20,6,173,0.0,0.9640718562874252,0.0,0.930635838150289,0
netsleuth:label_propagation,2,2.3333333333333335,0,161,20,6,173,0.0,0.9640718562874252,0.0,0.930635838150289,0
netsleuth:greedy_modularity,2,2.6666666666666665,0,161,18,6,173,0.0,0.9640718562874252,0.0,0.930635838150289,0
netsleuth:eigenvector,2,1.6666666666666667,1,162,17,5,173,0.16666666666666666,0.9700598802395209,0.05555555555555555,0.9421965317919075,0.08333333333333333
netsleuth:infomap,2,2.6666666666666665,1,162,20,5,173,0.16666666666666666,0.9700598802395209,0.047619047619047616,0.9421965317919075,0.07407407407407407
netsleuth:markov_clustering,2,2.3333333333333335,1,162,24,5,173,0.16666666666666666,0.9700598802395209,0.04,0.9421965317919075,0.06451612903225806
netsleuth:surprise_communities,2,2.0,2,163,30,4,173,0.3333333333333333,0.9760479041916168,0.0625,0.953757225433526,0.10526315789473684
netsleuth:walktrap,2,2.3333333333333335,1,162,21,5,173,0.16666666666666666,0.9700598802395209,0.045454545454545456,0.9421965317919075,0.07142857142857144
netsleuth:spectral,2,3.6666666666666665,0,161,6,6,173,0.0,0.9640718562874252,0.0,0.930635838150289,0
centrality:betweenness,2,1.3333333333333333,4,171,2,2,179,0.6666666666666666,0.9884393063583815,0.6666666666666666,0.9776536312849162,0.6666666666666666
unbiased:betweenness,2,1.6666666666666667,4,171,2,2,179,0.6666666666666666,0.9884393063583815,0.6666666666666666,0.9776536312849162,0.6666666666666666
centrality-cm:betweenness:louvain,2,2.3333333333333335,0,167,21,6,179,0.0,0.9653179190751445,0.0,0.9329608938547486,0
centrality-cm:betweenness:leiden,2,2.3333333333333335,0,167,21,6,179,0.0,0.9653179190751445,0.0,0.9329608938547486,0
centrality-cm:betweenness:label_propagation,2,2.3333333333333335,0,167,20,6,179,0.0,0.9653179190751445,0.0,0.9329608938547486,0
centrality-cm:betweenness:greedy_modularity,2,2.0,0,167,17,6,179,0.0,0.9653179190751445,0.0,0.9329608938547486,0
centrality-cm:betweenness:eigenvector,2,2.3333333333333335,1,168,13,5,179,0.16666666666666666,0.9710982658959537,0.07142857142857142,0.9441340782122905,0.1
centrality-cm:betweenness:infomap,2,2.3333333333333335,0,167,21,6,179,0.0,0.9653179190751445,0.0,0.9329608938547486,0
centrality-cm:betweenness:markov_clustering,2,1.6666666666666667,1,168,29,5,179,0.16666666666666666,0.9710982658959537,0.03333333333333333,0.9441340782122905,0.05555555555555555
centrality-cm:betweenness:surprise_communities,2,2.0,0,167,29,6,179,0.0,0.9653179190751445,0.0,0.9329608938547486,0
centrality-cm:betweenness:walktrap,2,2.3333333333333335,0,167,21,6,179,0.0,0.9653179190751445,0.0,0.9329608938547486,0
centrality-cm:betweenness:spectral,2,3.0,0,167,6,6,179,0.0,0.9653179190751445,0.0,0.9329608938547486,0
