type,sources,avg_distance,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
netsleuth:walktrap,5,5.0,0,10616,165,15,10646,0.0,0.9985890320760041,0.0,0.9971820402028931,0
centrality:betweenness,5,0.0,10,7029,0,0,7039,1.0,1.0,1.0,1.0,1.0
centrality:betweenness,41,4.5,79,7363,3,3,7448,0.9634146341463414,0.9995927233233777,0.9634146341463414,0.9991944146079484,0.9634146341463414
unbiased:betweenness,41,12.666666666666666,104,11053,19,19,11195,0.8455284552845529,0.9982839595375722,0.8455284552845529,0.9966056275122823,0.845528455284553
centrality-cm:betweenness:louvain,41,0.0,24,10973,23,99,11195,0.1951219512195122,0.9910585260115607,0.5106382978723404,0.982313532827155,0.2823529411764706
centrality-cm:betweenness:leiden,41,0.0,24,10973,24,99,11195,0.1951219512195122,0.9910585260115607,0.5,0.982313532827155,0.28070175438596495
centrality-cm:betweenness:eigenvector,41,0.0,24,10973,27,99,11195,0.1951219512195122,0.9910585260115607,0.47058823529411764,0.982313532827155,0.27586206896551724
centrality-cm:betweenness:surprise_communities,41,29.666666666666668,43,10992,860,80,11195,0.34959349593495936,0.9927745664739884,0.047619047619047616,0.9857079053148727,0.08382066276803118
centrality-cm:betweenness:walktrap,41,50.0,30,10979,149,93,11195,0.24390243902439024,0.9916004335260116,0.16759776536312848,0.9833854399285396,0.1986754966887417
unbiased-cm:betweenness:louvain,41,0.0,23,10972,26,100,11195,0.18699186991869918,0.9909682080924855,0.46938775510204084,0.9821348816435909,0.26744186046511625
unbiased-cm:betweenness:leiden,41,0.0,24,10973,24,99,11195,0.1951219512195122,0.9910585260115607,0.5,0.982313532827155,0.28070175438596495
unbiased-cm:betweenness:eigenvector,41,0.0,24,10973,27,99,11195,0.1951219512195122,0.9910585260115607,0.47058823529411764,0.982313532827155,0.27586206896551724
unbiased-cm:betweenness:surprise_communities,41,30.666666666666668,41,10990,861,82,11195,0.3333333333333333,0.9925939306358381,0.045454545454545456,0.9853506029477446,0.08
unbiased-cm:betweenness:walktrap,41,55.0,25,10974,154,98,11195,0.2032520325203252,0.9911488439306358,0.13966480446927373,0.982492184010719,0.16556291390728475
rumor:surprise_communities,41,30.0,44,10993,859,79,11195,0.35772357723577236,0.9928648843930635,0.048726467331118496,0.9858865564984368,0.08576998050682262
rumor:walktrap,41,52.333333333333336,27,10976,152,96,11195,0.21951219512195122,0.9913294797687862,0.15083798882681565,0.9828494863778473,0.17880794701986757
jordan:louvain,41,1242.0,17,10966,7,106,11195,0.13821138211382114,0.9904263005780347,0.7083333333333334,0.9810629745422064,0.23129251700680273
jordan:leiden,41,2491.0,19,10968,9,104,11195,0.15447154471544716,0.990606936416185,0.6785714285714286,0.9814202769093345,0.25165562913907286
jordan:label_propagation,41,4973.666666666667,23,10972,13,100,11195,0.18699186991869918,0.9909682080924855,0.6388888888888888,0.9821348816435909,0.28930817610062887
jordan:greedy_modularity,41,2491.0,22,10971,9,101,11195,0.17886178861788618,0.9908778901734104,0.7096774193548387,0.9819562304600268,0.28571428571428575
jordan:eigenvector,41,4973.666666666667,23,10972,7,100,11195,0.18699186991869918,0.9909682080924855,0.7666666666666667,0.9821348816435909,0.3006535947712418
jordan:infomap,41,1249.0,6,10955,9,117,11195,0.04878048780487805,0.989432803468208,0.4,0.9790978115230013,0.08695652173913045
jordan:markov_clustering,41,3723.3333333333335,15,10964,11,108,11195,0.12195121951219512,0.9902456647398844,0.5769230769230769,0.9807056721750782,0.20134228187919462
jordan:paris,41,0.0,3,10952,0,120,11195,0.024390243902439025,0.9891618497109826,1.0,0.9785618579723091,0.047619047619047616
jordan:surprise_communities,41,2482.6666666666665,38,10987,14,85,11195,0.3089430894308943,0.9923229768786127,0.7307692307692307,0.9848146493970522,0.4342857142857143
jordan:walktrap,41,3731.6666666666665,35,10984,14,88,11195,0.2845528455284553,0.9920520231213873,0.7142857142857143,0.98427869584636,0.4069767441860465
netsleuth:louvain,41,0.0,0,10949,47,123,11195,0.0,0.9888908959537572,0.0,0.9780259044216167,0
netsleuth:leiden,41,0.0,0,10949,48,123,11195,0.0,0.9888908959537572,0.0,0.9780259044216167,0
netsleuth:label_propagation,41,0.0,1,10950,86,122,11195,0.008130081300813009,0.9889812138728323,0.011494252873563218,0.9782045556051809,0.009523809523809525
netsleuth:greedy_modularity,41,0.0,0,10949,37,123,11195,0.0,0.9888908959537572,0.0,0.9780259044216167,0
netsleuth:eigenvector,41,0.0,1,10950,50,122,11195,0.008130081300813009,0.9889812138728323,0.0196078431372549,0.9782045556051809,0.011494252873563218
netsleuth:infomap,41,0.0,0,10949,18,123,11195,0.0,0.9888908959537572,0.0,0.9780259044216167,0
netsleuth:markov_clustering,41,0.0,2,10951,28,121,11195,0.016260162601626018,0.9890715317919075,0.06666666666666667,0.978383206788745,0.0261437908496732
