type,sources,avg_distance,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
unbiased-cm:betweenness:surprise_communities,2,0.6666666666666666,4,45,16,2,53,0.6666666666666666,0.9574468085106383,0.2,0.9245283018867925,0.30769230769230765
unbiased-cm:betweenness:walktrap,2,0.0,6,47,1,0,53,1.0,1.0,0.8571428571428571,1.0,0.923076923076923
unbiased-cm:betweenness:spectral,2,0.0,6,47,0,0,53,1.0,1.0,1.0,1.0,1.0
rumor:louvain,2,0.0,6,47,2,0,53,1.0,1.0,0.75,1.0,0.8571428571428571
rumor:leiden,2,0.0,6,47,1,0,53,1.0,1.0,0.8571428571428571,1.0,0.923076923076923
rumor:label_propagation,2,0.0,4,45,1,2,53,0.6666666666666666,0.9574468085106383,0.8,0.9245283018867925,0.7272727272727272
rumor:greedy_modularity,2,0.0,6,47,1,0,53,1.0,1.0,0.8571428571428571,1.0,0.923076923076923
rumor:eigenvector,2,0.0,6,47,1,0,53,1.0,1.0,0.8571428571428571,1.0,0.923076923076923
rumor:infomap,2,0.0,4,45,1,2,53,0.6666666666666666,0.9574468085106383,0.8,0.9245283018867925,0.7272727272727272
rumor:markov_clustering,2,3.0,1,42,5,5,53,0.16666666666666666,0.8936170212765957,0.16666666666666666,0.8113207547169812,0.16666666666666666
rumor:paris,2,2.0,2,43,4,4,53,0.3333333333333333,0.9148936170212766,0.3333333333333333,0.8490566037735849,0.3333333333333333
rumor:surprise_communities,2,0.6666666666666666,4,45,16,2,53,0.6666666666666666,0.9574468085106383,0.2,0.9245283018867925,0.30769230769230765
rumor:walktrap,2,0.3333333333333333,5,46,2,1,53,0.8333333333333334,0.9787234042553191,0.7142857142857143,0.9622641509433962,0.7692307692307692
rumor:spectral,2,0.0,6,47,0,0,53,1.0,1.0,1.0,1.0,1.0
jordan:louvain,2,10.0,1,42,6,5,53,0.16666666666666666,0.8936170212765957,0.14285714285714285,0.8113207547169812,0.15384615384615383
jordan:leiden,2,10.0,1,42,6,5,53,0.16666666666666666,0.8936170212765957,0.14285714285714285,0.8113207547169812,0.15384615384615383
jordan:label_propagation,2,5.666666666666667,0,41,5,6,53,0.0,0.8723404255319149,0.0,0.7735849056603774,0
jordan:greedy_modularity,2,10.0,1,42,6,5,53,0.16666666666666666,0.8936170212765957,0.14285714285714285,0.8113207547169812,0.15384615384615383
jordan:eigenvector,2,10.0,1,42,6,5,53,0.16666666666666666,0.8936170212765957,0.14285714285714285,0.8113207547169812,0.15384615384615383
jordan:infomap,2,9.333333333333334,0,41,5,6,53,0.0,0.8723404255319149,0.0,0.7735849056603774,0
jordan:markov_clustering,2,5.333333333333333,3,44,3,3,53,0.5,0.9361702127659575,0.5,0.8867924528301887,0.5
jordan:paris,2,5.333333333333333,3,44,3,3,53,0.5,0.9361702127659575,0.5,0.8867924528301887,0.5
jordan:surprise_communities,2,9.333333333333334,2,43,11,4,53,0.3333333333333333,0.9148936170212766,0.15384615384615385,0.8490566037735849,0.21052631578947367
