type,sources,avg_distance,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
centrality-cm:betweenness:leiden,7,0.0,5,72,8,16,109,0.23809523809523808,0.8181818181818182,0.38461538461538464,0.7064220183486238,0.2941176470588235
centrality-cm:betweenness:label_propagation,7,0.0,4,71,9,17,109,0.19047619047619047,0.8068181818181818,0.3076923076923077,0.6880733944954128,0.23529411764705882
centrality-cm:betweenness:greedy_modularity,7,0.0,5,72,7,16,109,0.23809523809523808,0.8181818181818182,0.4166666666666667,0.7064220183486238,0.30303030303030304
centrality-cm:betweenness:eigenvector,7,0.0,4,71,10,17,109,0.19047619047619047,0.8068181818181818,0.2857142857142857,0.6880733944954128,0.22857142857142854
centrality-cm:betweenness:infomap,7,0.0,7,74,6,14,109,0.3333333333333333,0.8409090909090909,0.5384615384615384,0.7431192660550459,0.41176470588235287
centrality-cm:betweenness:markov_clustering,7,3.6666666666666665,8,75,11,13,109,0.38095238095238093,0.8522727272727273,0.42105263157894735,0.7614678899082569,0.4
centrality-cm:betweenness:surprise_communities,7,6.333333333333333,4,71,24,17,109,0.19047619047619047,0.8068181818181818,0.14285714285714285,0.6880733944954128,0.16326530612244897
centrality-cm:betweenness:walktrap,7,0.0,3,70,11,18,109,0.14285714285714285,0.7954545454545454,0.21428571428571427,0.6697247706422018,0.17142857142857143
centrality-cm:betweenness:spectral,7,0.0,2,69,4,19,109,0.09523809523809523,0.7840909090909091,0.3333333333333333,0.6513761467889908,0.14814814814814814
unbiased-cm:betweenness:louvain,7,0.0,5,72,8,16,109,0.23809523809523808,0.8181818181818182,0.38461538461538464,0.7064220183486238,0.2941176470588235
unbiased-cm:betweenness:leiden,7,0.0,5,72,8,16,109,0.23809523809523808,0.8181818181818182,0.38461538461538464,0.7064220183486238,0.2941176470588235
unbiased-cm:betweenness:label_propagation,7,0.0,2,69,11,19,109,0.09523809523809523,0.7840909090909091,0.15384615384615385,0.6513761467889908,0.11764705882352941
unbiased-cm:betweenness:greedy_modularity,7,0.0,5,72,7,16,109,0.23809523809523808,0.8181818181818182,0.4166666666666667,0.7064220183486238,0.30303030303030304
unbiased-cm:betweenness:eigenvector,7,0.0,5,72,9,16,109,0.23809523809523808,0.8181818181818182,0.35714285714285715,0.7064220183486238,0.2857142857142857
unbiased-cm:betweenness:infomap,7,0.0,6,73,7,15,109,0.2857142857142857,0.8295454545454546,0.46153846153846156,0.7247706422018348,0.35294117647058826
unbiased-cm:betweenness:markov_clustering,7,3.3333333333333335,8,75,11,13,109,0.38095238095238093,0.8522727272727273,0.42105263157894735,0.7614678899082569,0.4
unbiased-cm:betweenness:surprise_communities,7,6.666666666666667,4,71,24,17,109,0.19047619047619047,0.8068181818181818,0.14285714285714285,0.6880733944954128,0.16326530612244897
unbiased-cm:betweenness:walktrap,7,0.0,3,70,11,18,109,0.14285714285714285,0.7954545454545454,0.21428571428571427,0.6697247706422018,0.17142857142857143
unbiased-cm:betweenness:spectral,7,0.0,3,70,3,18,109,0.14285714285714285,0.7954545454545454,0.5,0.6697247706422018,0.22222222222222224
rumor:louvain,7,0.0,2,69,9,19,109,0.09523809523809523,0.7840909090909091,0.18181818181818182,0.6513761467889908,0.125
rumor:leiden,7,0.0,4,71,9,17,109,0.19047619047619047,0.8068181818181818,0.3076923076923077,0.6880733944954128,0.23529411764705882
rumor:label_propagation,7,0.0,4,71,9,17,109,0.19047619047619047,0.8068181818181818,0.3076923076923077,0.6880733944954128,0.23529411764705882
rumor:greedy_modularity,7,0.0,2,69,10,19,109,0.09523809523809523,0.7840909090909091,0.16666666666666666,0.6513761467889908,0.12121212121212123
rumor:eigenvector,7,0.0,5,72,9,16,109,0.23809523809523808,0.8181818181818182,0.35714285714285715,0.7064220183486238,0.2857142857142857
