type,sources,avg_distance,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
centrality-cm:betweenness:greedy_modularity,5,1.3333333333333333,11,1173,14,4,1192,0.7333333333333333,0.9966015293118097,0.44,0.9932885906040269,0.5499999999999999
centrality-cm:betweenness:eigenvector,5,2.6666666666666665,7,1169,26,8,1192,0.4666666666666667,0.9932030586236194,0.21212121212121213,0.9865771812080537,0.29166666666666663
centrality-cm:betweenness:infomap,5,0.0,3,1165,0,12,1192,0.2,0.989804587935429,1.0,0.9798657718120806,0.33333333333333337
centrality-cm:betweenness:paris,5,3.0,6,1168,82,9,1192,0.4,0.9923534409515717,0.06818181818181818,0.9848993288590604,0.11650485436893203
centrality-cm:betweenness:surprise_communities,5,2.3333333333333335,8,1170,218,7,1192,0.5333333333333333,0.994052676295667,0.035398230088495575,0.988255033557047,0.06639004149377593
centrality-cm:betweenness:walktrap,5,4.0,3,1165,132,12,1192,0.2,0.989804587935429,0.022222222222222223,0.9798657718120806,0.039999999999999994
unbiased-cm:betweenness:louvain,5,1.3333333333333333,11,1173,18,4,1192,0.7333333333333333,0.9966015293118097,0.3793103448275862,0.9932885906040269,0.5
unbiased-cm:betweenness:leiden,5,1.3333333333333333,11,1173,19,4,1192,0.7333333333333333,0.9966015293118097,0.36666666666666664,0.9932885906040269,0.4888888888888889
unbiased-cm:betweenness:label_propagation,5,0.0,3,1165,0,12,1192,0.2,0.989804587935429,1.0,0.9798657718120806,0.33333333333333337
unbiased-cm:betweenness:greedy_modularity,5,1.6666666666666667,10,1172,15,5,1192,0.6666666666666666,0.9957519116397621,0.4,0.9916107382550335,0.5
unbiased-cm:betweenness:eigenvector,5,2.6666666666666665,7,1169,26,8,1192,0.4666666666666667,0.9932030586236194,0.21212121212121213,0.9865771812080537,0.29166666666666663
unbiased-cm:betweenness:infomap,5,0.0,3,1165,0,12,1192,0.2,0.989804587935429,1.0,0.9798657718120806,0.33333333333333337
unbiased-cm:betweenness:paris,5,3.0,6,1168,82,9,1192,0.4,0.9923534409515717,0.06818181818181818,0.9848993288590604,0.11650485436893203
unbiased-cm:betweenness:surprise_communities,5,1.6666666666666667,10,1172,217,5,1192,0.6666666666666666,0.9957519116397621,0.04405286343612335,0.9916107382550335,0.08264462809917356
unbiased-cm:betweenness:walktrap,5,4.0,3,1165,132,12,1192,0.2,0.989804587935429,0.022222222222222223,0.9798657718120806,0.039999999999999994
rumor:louvain,5,2.6666666666666665,7,1169,26,8,1192,0.4666666666666667,0.9932030586236194,0.21212121212121213,0.9865771812080537,0.29166666666666663
rumor:leiden,5,1.6666666666666667,10,1172,19,5,1192,0.6666666666666666,0.9957519116397621,0.3448275862068966,0.9916107382550335,0.4545454545454545
rumor:label_propagation,5,0.0,3,1165,0,12,1192,0.2,0.989804587935429,1.0,0.9798657718120806,0.33333333333333337
rumor:greedy_modularity,5,2.6666666666666665,7,1169,18,8,1192,0.4666666666666667,0.9932030586236194,0.28,0.9865771812080537,0.35000000000000003
rumor:eigenvector,5,2.6666666666666665,7,1169,26,8,1192,0.4666666666666667,0.9932030586236194,0.21212121212121213,0.9865771812080537,0.29166666666666663
rumor:infomap,5,0.0,3,1165,0,12,1192,0.2,0.989804587935429,1.0,0.9798657718120806,0.33333333333333337
rumor:paris,5,4.666666666666667,1,1163,87,14,1192,0.06666666666666667,0.9881053525913339,0.011363636363636364,0.9765100671140939,0.019417475728155338
rumor:surprise_communities,5,1.6666666666666667,10,1172,219,5,1192,0.6666666666666666,0.9957519116397621,0.043668122270742356,0.9916107382550335,0.08196721311475409
rumor:walktrap,5,4.0,3,1165,132,12,1192,0.2,0.989804587935429,0.022222222222222223,0.9798657718120806,0.039999999999999994
jordan:louvain,5,1.0,12,1174,7,3,1192,0.8,0.9974511469838573,0.631578947368421,0.9949664429530202,0.7058823529411765
jordan:leiden,5,2.6666666666666665,7,1169,9,8,1192,0.4666666666666667,0.9932030586236194,0.4375,0.9865771812080537,0.45161290322580644
jordan:label_propagation,5,0.0,3,1165,0,12,1192,0.2,0.989804587935429,1.0,0.9798657718120806,0.33333333333333337
jordan:greedy_modularity,5,1.0,4,1166,9,11,1192,0.26666666666666666,0.9906542056074766,0.3076923076923077,0.9815436241610739,0.28571428571428575
jordan:eigenvector,5,1.3333333333333333,11,1173,7,4,1192,0.7333333333333333,0.9966015293118097,0.6111111111111112,0.9932885906040269,0.6666666666666666
