type,experiment,sources,detected,normalized,per_community,infection_probability,time,nr_of_empty_communities,error_distance,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
centrality-cm:betweenness:eigenvector,6-5,"0,2,32,33","0,24,33","OrderedDict([(0, 1.0), (33, 1.0), (24, 1.0), (27, 1.0), (32, 0.46153846153846156), (2, 0.11111111111111112), (29, 0.07692307692307691), (3, 0.0), (5, 0.0), (6, 0.0), (8, 0.0), (13, 0.0), (15, 0.0), (18, 0.0), (22, 0.0), (26, 0.0), (31, 0.0), (23, 0.0)])","{0: {0: 0.6, 2: 0.06666666666666667, 3: 0.0, 5: 0.0, 6: 0.0, 8: 0.0, 13: 0.0}, 1: {15: 0.0, 18: 0.0, 22: 0.0, 26: 0.0, 29: 0.03333333333333333, 32: 0.2, 33: 0.43333333333333335}, 2: {23: 0.0, 24: 0.6666666666666666, 27: 0.6666666666666666, 31: 0.0}}",{},0.003578662872314453,1,0,2,12,1,2,18,0.5,0.8571428571428571,0.6666666666666666,0.7777777777777778,0.5714285714285715
centrality-cm:betweenness:louvain,6-5,"0,2,32,33","0,24,33","OrderedDict([(33, 1.0), (0, 1.0), (32, 0.3333333333333333), (2, 0.11111111111111112), (23, 0.07407407407407408), (29, 0.07407407407407408), (15, 0.0), (18, 0.0), (22, 0.0), (26, 0.0), (27, 0.0), (3, 0.0), (5, 0.0), (6, 0.0), (8, 0.0), (13, 0.0), (24, 0.0), (31, 0.0)])","{0: {15: 0.0, 18: 0.0, 22: 0.0, 23: 0.03571428571428571, 26: 0.0, 27: 0.0, 29: 0.03571428571428571, 32: 0.1607142857142857, 33: 0.4821428571428571}, 1: {0: 0.6, 2: 0.06666666666666667, 3: 0.0, 5: 0.0, 6: 0.0, 8: 0.0, 13: 0.0}, 2: {24: 0.0, 31: 0.0}}",{},0.0019779205322265625,1,0,2,12,1,2,18,0.5,0.8571428571428571,0.6666666666666666,0.7777777777777778,0.5714285714285715
centrality-cm:betweenness:greedy_modularity,6-5,"0,2,32,33","0,24,33","OrderedDict([(33, 1.0), (0, 1.0), (24, 1.0), (32, 0.5294117647058824), (29, 0.11764705882352941), (2, 0.11111111111111112), (15, 0.0), (18, 0.0), (22, 0.0), (23, 0.0), (26, 0.0), (3, 0.0), (5, 0.0), (6, 0.0), (8, 0.0), (13, 0.0), (27, 0.0), (31, 0.0)])","{0: {32: 0.21428571428571427, 33: 0.40476190476190477, 15: 0.0, 18: 0.0, 22: 0.0, 23: 0.0, 26: 0.0, 29: 0.047619047619047616}, 1: {0: 0.6, 2: 0.06666666666666667, 3: 0.0, 5: 0.0, 6: 0.0, 8: 0.0, 13: 0.0}, 2: {24: 1.0, 27: 0.0, 31: 0.0}}",{},0.0018832683563232422,1,0,2,12,1,2,18,0.5,0.8571428571428571,0.6666666666666666,0.7777777777777778,0.5714285714285715
centrality-cm:betweenness:label_propagation,6-5,"0,2,32,33","5,33","OrderedDict([(33, 1.0), (32, 0.523257149420007), (2, 0.25490984265533484), (31, 0.2344090961295509), (27, 0.1766969105317561), (13, 0.15097048351900774), (0, 0.09928792925232575), (8, 0.07402090272194786), (29, 0.028942230389341912), (23, 0.02612840243482256), (24, 0.012059262662225798), (3, 0.0), (15, 0.0), (18, 0.0), (22, 0.0), (26, 0.0), (5, 0.0), (6, 0.0)])","{0: {0: 0.03920634920634922, 32: 0.2066213151927438, 2: 0.1006575963718821, 3: 0.0, 33: 0.39487528344671197, 8: 0.029229024943310658, 13: 0.05961451247165534, 15: 0.0, 18: 0.0, 22: 0.0, 23: 0.010317460317460317, 24: 0.004761904761904762, 26: 0.0, 27: 0.06977324263038549, 29: 0.011428571428571429, 31: 0.09256235827664397}, 1: {5: 0.0, 6: 0.0}}",{},0.0017533302307128906,1,0,1,11,1,3,18,0.25,0.7857142857142857,0.5,0.6666666666666666,0.3333333333333333
centrality-cm:betweenness:infomap,6-5,"0,2,32,33","0,33","OrderedDict([(33, 1.0), (0, 1.0), (32, 0.3928571428571429), (31, 0.2142857142857143), (27, 0.16666666666666666), (2, 0.11111111111111112), (23, 0.05952380952380953), (29, 0.04761904761904762), (24, 0.02380952380952381), (15, 0.0), (18, 0.0), (22, 0.0), (26, 0.0), (3, 0.0), (5, 0.0), (6, 0.0), (8, 0.0), (13, 0.0)])","{0: {15: 0.0, 18: 0.0, 22: 0.0, 23: 0.02777777777777778, 24: 0.011111111111111112, 26: 0.0, 27: 0.07777777777777778, 29: 0.022222222222222223, 31: 0.1, 32: 0.18333333333333335, 33: 0.4666666666666667}, 1: {0: 0.6, 2: 0.06666666666666667, 3: 0.0, 5: 0.0, 6: 0.0, 8: 0.0, 13: 0.0}}",{},0.0274658203125,0,0,2,12,0,2,18,0.5,0.8571428571428571,1.0,0.7777777777777778,0.6666666666666666
centrality-cm:betweenness:surprise_communities,6-5,"0,2,32,33","0,5,24,26,27,32","OrderedDict([(0, 1.0), (2, 1.0), (32, 1.0), (33, 1.0), (3, 0.0), (8, 0.0), (13, 0.0), (15, 0.0), (18, 0.0), (22, 0.0), (27, 0.0), (23, 0.0), (5, 0.0), (6, 0.0), (26, 0.0), (29, 0.0), (24, 0.0), (31, 0.0)])","{0: {0: 0.16666666666666666, 2: 0.16666666666666666, 3: 0.0, 8: 0.0, 13: 0.0}, 1: {15: 0.0, 18: 0.0, 22: 0.0, 32: 0.25, 33: 0.25}, 2: {23: 0.0, 27: 0.0}, 3: {5: 0.0, 6: 0.0}, 4: {26: 0.0, 29: 0.0}, 5: {24: 0.0, 31: 0.0}}",{},0.0017879009246826172,4,2,2,12,4,2,18,0.5,0.8571428571428571,0.3333333333333333,0.7777777777777778,0.4
centrality-cm:betweenness:walktrap,6-5,"0,2,32,33","0,5,24,33","OrderedDict([(33, 1.0), (0, 1.0), (2, 1.0), (24, 1.0), (32, 0.5294117647058824), (29, 0.11764705882352941), (15, 0.0), (18, 0.0), (22, 0.0), (23, 0.0), (26, 0.0), (3, 0.0), (8, 0.0), (13, 0.0), (27, 0.0), (31, 0.0), (5, 0.0), (6, 0.0)])","{0: {15: 0.0, 18: 0.0, 22: 0.0, 23: 0.0, 26: 0.0, 29: 0.047619047619047616, 32: 0.21428571428571427, 33: 0.40476190476190477}, 1: {0: 0.16666666666666666, 2: 0.16666666666666666, 3: 0.0, 8: 0.0, 13: 0.0}, 2: {24: 1.0, 27: 0.0, 31: 0.0}, 3: {5: 0.0, 6: 0.0}}",{},0.0016105175018310547,2,4,2,12,2,2,18,0.5,0.8571428571428571,0.5,0.7777777777777778,0.5
centrality-cm:betweenness:df_node_similarity,6-5,"0,2,32,33","0,5,33","OrderedDict([(33, 1.0), (0, 1.0), (2, 1.0), (32, 0.3928571428571429), (31, 0.2142857142857143), (27, 0.16666666666666666), (23, 0.05952380952380953), (29, 0.04761904761904762), (24, 0.02380952380952381), (15, 0.0), (18, 0.0), (22, 0.0), (26, 0.0), (3, 0.0), (8, 0.0), (13, 0.0), (5, 0.0), (6, 0.0)])","{0: {32: 0.18333333333333335, 33: 0.4666666666666667, 15: 0.0, 18: 0.0, 22: 0.0, 23: 0.02777777777777778, 24: 0.011111111111111112, 26: 0.0, 27: 0.07777777777777778, 29: 0.022222222222222223, 31: 0.1}, 1: {0: 0.16666666666666666, 2: 0.16666666666666666, 3: 0.0, 8: 0.0, 13: 0.0}, 2: {5: 0.0, 6: 0.0}}",{},0.0036745071411132812,1,0,2,12,1,2,18,0.5,0.8571428571428571,0.6666666666666666,0.7777777777777778,0.5714285714285715
rumor:leiden,6-5,"0,2,32,33","0,24,33","OrderedDict([(33, 1.0), (0, 1.0), (24, 1.0), (32, 0.4545454545454546), (29, 0.18181818181818185), (2, 0.16666666666666666), (3, 0.06249999999999999), (13, 0.06249999999999999), (23, 0.04545454545454546), (22, 0.018181818181818195), (15, 0.018181818181818195), (18, 0.018181818181818195), (26, 0.0), (5, 0.0), (6, 0.0), (8, 0.0), (31, 0.0), (27, 0.0)])","{0: {15: 0.0125, 18: 0.0125, 22: 0.0125, 23: 0.015625, 26: 0.010416666666666666, 29: 0.03125, 32: 0.0625, 33: 0.125}, 1: {0: 0.14285714285714285, 2: 0.047619047619047616, 3: 0.03571428571428571, 5: 0.02857142857142857, 6: 0.02857142857142857, 8: 0.02857142857142857, 13: 0.03571428571428571}, 2: {24: 0.3333333333333333, 27: 0.16666666666666666, 31: 0.16666666666666666}}",{},0.0017859935760498047,1,0,2,12,1,2,18,0.5,0.8571428571428571,0.6666666666666666,0.7777777777777778,0.5714285714285715
rumor:eigenvector,6-5,"0,2,32,33","0,27,33","OrderedDict([(0, 1.0), (33, 1.0), (27, 1.0), (24, 1.0), (32, 0.42857142857142855), (2, 0.16666666666666666), (29, 0.14285714285714285), (3, 0.06249999999999999), (13, 0.06249999999999999), (5, 0.0), (6, 0.0), (8, 0.0), (22, 0.0), (18, 0.0), (26, 0.0), (15, 0.0), (31, 0.0), (23, 0.0)])","{0: {0: 0.14285714285714285, 2: 0.047619047619047616, 3: 0.03571428571428571, 5: 0.02857142857142857, 6: 0.02857142857142857, 8: 0.02857142857142857, 13: 0.03571428571428571}, 1: {15: 0.017857142857142856, 18: 0.017857142857142856, 22: 0.017857142857142856, 26: 0.017857142857142856, 29: 0.03571428571428571, 32: 0.07142857142857142, 33: 0.14285714285714285}, 2: {23: 0.041666666666666664, 24: 0.125, 27: 0.125, 31: 0.041666666666666664}}",{},0.0017333030700683594,1,0,2,12,1,2,18,0.5,0.8571428571428571,0.6666666666666666,0.7777777777777778,0.5714285714285715
