neighbors_probability,node_on_path,degree,infected
0.9090909090909091,0.6545454545454545,0.011011011011011011,1
0.625,0.9642857142857143,0.008008008008008008,0
0.8181818181818182,0.5818181818181818,0.011011011011011011,0
0.8333333333333334,0.5303030303030303,0.012012012012012012,0
0.6,0.4666666666666667,0.01001001001001001,0
0.75,0.7142857142857143,0.008008008008008008,1
0.75,0.5,0.008008008008008008,1
0.5555555555555556,0.19444444444444445,0.009009009009009009,0
0.5,0.39285714285714285,0.008008008008008008,1
0.8181818181818182,0.7090909090909091,0.011011011011011011,1
0.5555555555555556,0.75,0.009009009009009009,0
0.8181818181818182,0.5454545454545454,0.011011011011011011,1
0.8333333333333334,0.5303030303030303,0.012012012012012012,0
0.7,0.4444444444444444,0.01001001001001001,1
0.7777777777777778,0.5555555555555556,0.009009009009009009,0
0.7,0.7555555555555555,0.01001001001001001,1
0.875,0.7857142857142857,0.008008008008008008,1
0.625,0.75,0.008008008008008008,0
